Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DLink (EU),0,104,18557,68,11264,36,7293
DLink (EU),1800,95,21572,60,9288,35,12284
DLink (EU),3600,131,37469,81,15974,50,21495
DLink (EU),5400,99,17606,64,10528,35,7078
DLink (EU),7200,101,18359,68,11264,33,7095
DLink (EU),9000,100,18018,66,10857,34,7161
DLink (EU),10800,101,18359,68,11264,33,7095
DLink (EU),12600,96,17408,64,10528,32,6880
DLink (EU),14400,101,18359,68,11264,33,7095
DLink (EU),16200,99,17952,66,10857,33,7095
DLink (EU),18000,101,18359,68,11264,33,7095
DLink (EU),19800,96,17408,64,10528,32,6880
DLink (EU),21600,101,18359,68,11264,33,7095
DLink (EU),23400,99,17952,66,10857,33,7095
DLink (EU),25200,98,17815,66,10935,32,6880
DLink (EU),27000,99,17952,66,10857,33,7095
DLink (EU),28800,101,18359,68,11264,33,7095
DLink (EU),30600,99,17952,66,10857,33,7095
DLink (EU),32400,98,17815,66,10935,32,6880
DLink (EU),34200,99,17952,66,10857,33,7095
DLink (EU),36000,101,18359,68,11264,33,7095
DLink (EU),37800,99,17952,66,10857,33,7095
DLink (EU),39600,98,17815,66,10935,32,6880
DLink (EU),41400,99,17952,66,10857,33,7095
DLink (EU),43200,101,18359,68,11264,33,7095
DLink (EU),45000,96,17408,64,10528,32,6880
DLink (EU),46800,101,18359,68,11264,33,7095
DLink (EU),48600,99,17952,66,10857,33,7095
DLink (EU),50400,103,18491,68,11264,35,7227
DLink (EU),52200,96,17408,64,10528,32,6880
DLink (EU),54000,101,18359,68,11264,33,7095
DLink (EU),55800,99,17952,66,10857,33,7095
DLink (EU),57600,102,18425,68,11264,34,7161
DLink (EU),59400,115,31058,70,15182,45,15876
DLink (EU),61200,177,90419,104,29827,73,60592
DLink (EU),63000,74,12876,48,7894,26,4982
DLink (EU),64800,0,0,0,0,0,0
DLink (EU),66600,2,407,2,407,0,0
DLink (EU),68400,0,0,0,0,0,0
DLink (EU),70200,2,407,2,407,0,0
DLink (EU),72000,0,0,0,0,0,0
DLink (EU),73800,2,407,2,407,0,0
DLink (EU),75600,7,622,6,548,1,74
DLink (EU),77400,12,1344,10,1216,2,128
DLink (EU),79200,18,1664,15,1462,3,202
DLink (EU),81000,17,7163,9,1338,8,5825
DLink (EU),82800,109,41119,66,17797,43,23322
DLink (EU),84600,104,18557,68,11264,36,7293
DLink (EU),86400,106,18426,66,10857,40,7569
DLink (EU),88200,103,18491,68,11264,35,7227
DLink (EU),90000,97,17486,64,10528,33,6958
DLink (EU),91800,105,18623,68,11264,37,7359
DLink (EU),93600,100,18018,66,10857,34,7161
DLink (EU),95400,100,17947,66,10935,34,7012
DLink (EU),97200,101,18084,66,10857,35,7227
DLink (EU),99000,101,18359,68,11264,33,7095
DLink (EU),100800,102,18150,66,10857,36,7293
DLink (EU),102600,101,18025,66,10935,35,7090
DLink (EU),104400,107,18480,66,10857,41,7623
DLink (EU),106200,105,18623,68,11264,37,7359
DLink (EU),108000,104,18294,66,10857,38,7437
DLink (EU),109800,100,17947,66,10935,34,7012
DLink (EU),111600,101,18084,66,10857,35,7227
DLink (EU),113400,104,18557,68,11264,36,7293
DLink (EU),115200,96,17408,64,10528,32,6880
DLink (EU),117000,103,18491,68,11264,35,7227
DLink (EU),118800,99,17952,66,10857,33,7095
DLink (EU),120600,107,18767,68,11264,39,7503
DLink (EU),122400,96,17408,64,10528,32,6880
DLink (EU),124200,101,18359,68,11264,33,7095
DLink (EU),126000,101,18096,66,10857,35,7239
DLink (EU),127800,102,18425,68,11264,34,7161
DLink (EU),129600,96,17408,64,10528,32,6880
DLink (EU),131400,101,18359,68,11264,33,7095
DLink (EU),133200,100,18018,66,10857,34,7161
DLink (EU),135000,98,17815,66,10935,32,6880
DLink (EU),136800,99,17952,66,10857,33,7095
DLink (EU),138600,102,18425,68,11264,34,7161
DLink (EU),140400,100,18018,66,10857,34,7161
DLink (EU),142200,99,17881,66,10935,33,6946
DLink (EU),144000,101,18084,66,10857,35,7227
DLink (EU),145800,103,18491,68,11264,35,7227
DLink (EU),147600,99,17952,66,10857,33,7095
DLink (EU),149400,100,17947,66,10935,34,7012
DLink (EU),151200,104,18282,66,10857,38,7425
DLink (EU),153000,101,18359,68,11264,33,7095
DLink (EU),154800,96,17408,64,10528,32,6880
DLink (EU),156600,103,18491,68,11264,35,7227
DLink (EU),158400,100,18018,66,10857,34,7161
DLink (EU),160200,104,18557,68,11264,36,7293
DLink (EU),162000,98,17540,64,10528,34,7012
DLink (EU),163800,102,18425,68,11264,34,7161
DLink (EU),165600,100,18018,66,10857,34,7161
DLink (EU),167400,101,18359,68,11264,33,7095
DLink (EU),169200,119,25667,76,12200,43,13467
DLink (EU),171000,123,32863,78,16379,45,16484
DLink (EU),172800,104,18282,66,10857,38,7425
DLink (EU),174600,100,17947,66,10935,34,7012
DLink (EU),176400,101,18084,66,10857,35,7227
DLink (EU),178200,103,18491,68,11264,35,7227
DLink (EU),180000,101,18084,66,10857,35,7227
DLink (EU),181800,101,18013,66,10935,35,7078
DLink (EU),183600,99,17952,66,10857,33,7095
DLink (EU),185400,103,18491,68,11264,35,7227
DLink (EU),187200,96,17408,64,10528,32,6880
DLink (EU),189000,106,18701,68,11264,38,7437
DLink (EU),190800,99,17952,66,10857,33,7095
DLink (EU),192600,105,18623,68,11264,37,7359
DLink (EU),194400,99,17606,64,10528,35,7078
DLink (EU),196200,103,18491,68,11264,35,7227
DLink (EU),198000,438,183281,269,156018,169,27263
DLink (EU),199800,104,18569,68,11264,36,7305
DLink (EU),201600,100,17672,64,10528,36,7144
DLink (EU),203400,103,18503,68,11264,35,7239
DLink (EU),205200,107,18480,66,10857,41,7623
DLink (EU),207000,101,18025,66,10935,35,7090
DLink (EU),208800,104,18282,66,10857,38,7425
DLink (EU),210600,101,18359,68,11264,33,7095
DLink (EU),212400,101,18084,66,10857,35,7227
DLink (EU),214200,100,17947,66,10935,34,7012
DLink (EU),216000,102,18150,66,10857,36,7293
DLink (EU),217800,101,18359,68,11264,33,7095
DLink (EU),219600,98,17540,64,10528,34,7012
DLink (EU),221400,103,18491,68,11264,35,7227
DLink (EU),223200,102,18162,66,10857,36,7305
DLink (EU),225000,106,18689,68,11264,38,7425
DLink (EU),226800,98,17540,64,10528,34,7012
DLink (EU),228600,109,18887,68,11264,41,7623
DLink (EU),230400,103,18216,66,10857,37,7359
DLink (EU),232200,103,18491,68,11264,35,7227
DLink (EU),234000,98,17540,64,10528,34,7012
DLink (EU),235800,17009,17333783,10549,16888152,6460,445631
DLink (EU),237600,100,18018,66,10857,34,7161
DLink (EU),239400,17444,17803174,10826,17340879,6618,462295
DLink (EU),241200,103,18216,66,10857,37,7359
DLink (EU),243000,5928,6170432,3728,6013418,2200,157014
DLink (EU),244800,21726,22550697,13624,21989894,8102,560803
DLink (EU),246600,17533,17907193,11116,17464645,6417,442548
DLink (EU),248400,2149,2183476,1334,2124331,815,59145
DLink (EU),250200,12147,12648745,7498,12323116,4649,325629
DLink (EU),252000,12151,12656632,7602,12337687,4549,318945
DLink (EU),253800,5976,5942855,3734,5783202,2242,159653
