Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (EU),0,169,51347,99,47250,70,4097
TPLink (EU),1800,249,63860,136,56967,113,6893
TPLink (EU),3600,198,56658,114,51606,84,5052
TPLink (EU),5400,135,45816,84,42894,51,2922
TPLink (EU),7200,182,52675,103,48069,79,4606
TPLink (EU),9000,198,56658,114,51606,84,5052
TPLink (EU),10800,142,46291,87,43080,55,3211
TPLink (EU),12600,176,52411,103,48069,73,4342
TPLink (EU),14400,200,56746,114,51606,86,5140
TPLink (EU),16200,131,45640,84,42894,47,2746
TPLink (EU),18000,143,46924,88,43713,55,3211
TPLink (EU),19800,166,51215,99,47250,67,3965
TPLink (EU),21600,133,45728,84,42894,49,2834
TPLink (EU),23400,142,46880,88,43713,54,3167
TPLink (EU),25200,155,49386,94,45798,61,3588
TPLink (EU),27000,145,47012,88,43713,57,3299
TPLink (EU),28800,200,56157,113,50973,87,5184
TPLink (EU),30600,215,58172,119,52479,96,5693
TPLink (EU),32400,180,52587,103,48069,77,4518
TPLink (EU),34200,244,63473,133,56781,111,6692
TPLink (EU),36000,133,45728,84,42894,49,2834
TPLink (EU),37800,169,51347,99,47250,70,4097
TPLink (EU),39600,178,51321,101,46803,77,4518
TPLink (EU),41400,139,45403,83,42261,56,3142
TPLink (EU),43200,180,52587,103,48069,77,4518
TPLink (EU),45000,170,49624,96,45351,74,4273
TPLink (EU),46800,172,51479,99,47250,73,4229
TPLink (EU),48600,171,51435,99,47250,72,4185
TPLink (EU),50400,226,58813,121,52611,105,6202
TPLink (EU),52200,141,46080,84,42894,57,3186
TPLink (EU),54000,137,45904,84,42894,53,3010
TPLink (EU),55800,214,58118,118,52425,96,5693
TPLink (EU),57600,207,57810,118,52425,89,5385
TPLink (EU),59400,210,57942,118,52425,92,5517
TPLink (EU),61200,181,52631,103,48069,78,4562
TPLink (EU),63000,168,51303,99,47250,69,4053
TPLink (EU),64800,152,47320,88,43713,64,3607
TPLink (EU),66600,143,46168,84,42894,59,3274
TPLink (EU),68400,149,47188,88,43713,61,3475
TPLink (EU),70200,136,45860,84,42894,52,2966
TPLink (EU),72000,136,45860,84,42894,52,2966
TPLink (EU),73800,140,46036,84,42894,56,3142
TPLink (EU),75600,167,50670,98,46617,69,4053
TPLink (EU),77400,178,51910,102,47436,76,4474
TPLink (EU),79200,144,46968,88,43713,56,3255
TPLink (EU),81000,135,45227,83,42261,52,2966
TPLink (EU),82800,185,52807,103,48069,82,4738
TPLink (EU),84600,213,57318,114,51606,99,5712
TPLink (EU),86400,180,51831,99,47250,81,4581
TPLink (EU),88200,158,47584,88,43713,70,3871
TPLink (EU),90000,159,47638,89,43767,70,3871
TPLink (EU),91800,146,46300,84,42894,62,3406
TPLink (EU),93600,144,45623,83,42261,61,3362
TPLink (EU),95400,148,46977,85,43527,63,3450
TPLink (EU),97200,192,52526,102,47436,90,5090
TPLink (EU),99000,189,52983,103,48069,86,4914
TPLink (EU),100800,172,51479,99,47250,73,4229
TPLink (EU),102600,189,52983,103,48069,86,4914
TPLink (EU),104400,219,58348,119,52479,100,5869
TPLink (EU),106200,256,63412,132,56148,124,7264
TPLink (EU),108000,146,46300,84,42894,62,3406
TPLink (EU),109800,199,54179,107,48888,92,5291
TPLink (EU),111600,143,46168,84,42894,59,3274
TPLink (EU),113400,147,46344,84,42894,63,3450
TPLink (EU),115200,175,51611,99,47250,76,4361
TPLink (EU),117000,145,46256,84,42894,61,3362
TPLink (EU),118800,220,57793,117,51792,103,6001
TPLink (EU),120600,158,47584,88,43713,70,3871
TPLink (EU),122400,143,44401,81,40995,62,3406
TPLink (EU),124200,148,46977,85,43527,63,3450
TPLink (EU),126000,152,47320,88,43713,64,3607
TPLink (EU),127800,145,46256,84,42894,61,3362
TPLink (EU),129600,192,53115,103,48069,89,5046
TPLink (EU),131400,143,46168,84,42894,59,3274
TPLink (EU),133200,148,46388,84,42894,64,3494
TPLink (EU),135000,150,46476,84,42894,66,3582
TPLink (EU),136800,251,63791,134,56835,117,6956
TPLink (EU),138600,187,52895,103,48069,84,4826
TPLink (EU),140400,160,47672,88,43713,72,3959
TPLink (EU),142200,145,46256,84,42894,61,3362
TPLink (EU),144000,157,47550,89,43767,68,3783
TPLink (EU),145800,147,46344,84,42894,63,3450
TPLink (EU),147600,178,51144,97,46563,81,4581
TPLink (EU),149400,196,54047,107,48888,89,5159
TPLink (EU),151200,180,51821,98,47196,82,4625
TPLink (EU),153000,188,52939,103,48069,85,4870
TPLink (EU),154800,286,68914,148,60582,138,8332
TPLink (EU),156600,182,53244,102,48594,80,4650
TPLink (EU),158400,178,51154,98,46617,80,4537
TPLink (EU),160200,189,52983,103,48069,86,4914
TPLink (EU),162000,143,45569,82,42207,61,3362
TPLink (EU),163800,219,57749,117,51792,102,5957
TPLink (EU),165600,188,53528,104,48702,84,4826
TPLink (EU),167400,159,47628,88,43713,71,3915
TPLink (EU),169200,265,66920,140,59499,125,7421
TPLink (EU),171000,197,53502,106,48255,91,5247
TPLink (EU),172800,187,52306,102,47436,85,4870
TPLink (EU),174600,194,55726,110,50787,84,4939
TPLink (EU),176400,152,46731,87,43080,65,3651
TPLink (EU),178200,172,51469,98,47196,74,4273
TPLink (EU),180000,283,67467,146,59292,137,8175
TPLink (EU),181800,175,51611,99,47250,76,4361
TPLink (EU),183600,189,52983,103,48069,86,4914
TPLink (EU),185400,178,51743,99,47250,79,4493
TPLink (EU),187200,145,46256,84,42894,61,3362
TPLink (EU),189000,180,51831,99,47250,81,4581
TPLink (EU),190800,159,47648,90,43821,69,3827
TPLink (EU),192600,249,63693,133,56781,116,6912
TPLink (EU),194400,145,46256,84,42894,61,3362
TPLink (EU),196200,220,58382,118,52425,102,5957
TPLink (EU),198000,177,51709,100,47304,77,4405
TPLink (EU),199800,171,51445,100,47304,71,4141
TPLink (EU),201600,186,52851,103,48069,83,4782
TPLink (EU),203400,188,52939,103,48069,85,4870
TPLink (EU),205200,210,57186,114,51606,96,5580
TPLink (EU),207000,144,46212,84,42894,60,3318
TPLink (EU),208800,181,51875,99,47250,82,4625
TPLink (EU),210600,216,57617,117,51792,99,5825
TPLink (EU),212400,258,64266,137,57021,121,7245
TPLink (EU),214200,145,46256,84,42894,61,3362
TPLink (EU),216000,147,46344,84,42894,63,3450
TPLink (EU),217800,214,56940,116,51159,98,5781
TPLink (EU),219600,230,60167,123,53877,107,6290
TPLink (EU),221400,235,61143,127,54696,108,6447
TPLink (EU),223200,212,57274,114,51606,98,5668
TPLink (EU),225000,174,51567,99,47250,75,4317
TPLink (EU),226800,159,47039,87,43080,72,3959
TPLink (EU),228600,145,46256,84,42894,61,3362
TPLink (EU),230400,178,51154,98,46617,80,4537
TPLink (EU),232200,211,57230,114,51606,97,5624
TPLink (EU),234000,164,48604,92,44532,72,4072
TPLink (EU),235800,151,46687,87,43080,64,3607
TPLink (EU),237600,181,52464,100,47883,81,4581
TPLink (EU),239400,147,46344,84,42894,63,3450
TPLink (EU),241200,178,51154,98,46617,80,4537
TPLink (EU),243000,173,50934,98,46617,75,4317
TPLink (EU),244800,221,58426,118,52425,103,6001
TPLink (EU),246600,174,51567,99,47250,75,4317
TPLink (EU),248400,188,52350,102,47436,86,4914
TPLink (EU),250200,152,47320,88,43713,64,3607
TPLink (EU),252000,180,51831,99,47250,81,4581
TPLink (EU),253800,211,56641,113,50973,98,5668
