Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
GoogleNestMini (US1-1),0,2077,355918,1402,257822,675,98096
GoogleNestMini (US1-1),3600,2097,353283,1395,255241,702,98042
GoogleNestMini (US1-1),7200,2107,347472,1410,252981,697,94491
GoogleNestMini (US1-1),10800,2194,381715,1460,273367,734,108348
GoogleNestMini (US1-1),14400,2631,920339,1509,269955,1122,650384
GoogleNestMini (US1-1),18000,2108,358539,1405,260317,703,98222
GoogleNestMini (US1-1),21600,2117,355290,1416,252907,701,102383
GoogleNestMini (US1-1),25200,4584,2495285,2603,558014,1981,1937271
GoogleNestMini (US1-1),28800,2138,363516,1438,269311,700,94205
GoogleNestMini (US1-1),32400,2087,346338,1396,252689,691,93649
GoogleNestMini (US1-1),36000,2103,348895,1414,258042,689,90853
GoogleNestMini (US1-1),39600,2715,981981,1564,306983,1151,674998
GoogleNestMini (US1-1),43200,2534,908019,1454,261731,1080,646288
GoogleNestMini (US1-1),46800,2039,322820,1329,231485,710,91335
GoogleNestMini (US1-1),50400,2007,311723,1321,228822,686,82901
GoogleNestMini (US1-1),54000,2110,342263,1377,238786,733,103477
GoogleNestMini (US1-1),57600,2093,336391,1364,234837,729,101554
GoogleNestMini (US1-1),61200,2107,332919,1391,241006,716,91913
GoogleNestMini (US1-1),64800,2534,881526,1442,244774,1092,636752
GoogleNestMini (US1-1),68400,2959,1029264,1712,322913,1247,706351
GoogleNestMini (US1-1),72000,2312,391880,1537,284198,775,107682
GoogleNestMini (US1-1),75600,2336,415319,1550,293797,786,121522
GoogleNestMini (US1-1),79200,2268,390285,1515,286151,753,104134
GoogleNestMini (US1-1),82800,2318,409871,1541,293152,777,116719
GoogleNestMini (US1-1),86400,2288,398820,1517,286746,771,112074
GoogleNestMini (US1-1),90000,2822,967149,1640,304288,1182,662861
GoogleNestMini (US1-1),93600,2229,377328,1498,278648,731,98680
GoogleNestMini (US1-1),97200,2382,425763,1587,304444,795,121319
GoogleNestMini (US1-1),100800,2277,392928,1510,281213,767,111715
GoogleNestMini (US1-1),104400,2306,403218,1541,291874,765,111344
GoogleNestMini (US1-1),108000,4541,2498419,2616,539551,1925,1958868
GoogleNestMini (US1-1),111600,2154,364188,1440,268561,714,95627
GoogleNestMini (US1-1),115200,2120,355875,1417,257658,703,98217
GoogleNestMini (US1-1),118800,2047,331617,1371,245416,676,86201
GoogleNestMini (US1-1),122400,2184,379450,1447,271032,737,108418
GoogleNestMini (US1-1),126000,2143,362974,1432,261789,711,101185
GoogleNestMini (US1-1),129600,2629,916064,1532,273961,1097,642103
GoogleNestMini (US1-1),133200,2083,343395,1394,252407,689,90988
GoogleNestMini (US1-1),136800,3047,999287,1957,827939,1090,171348
GoogleNestMini (US1-1),140400,2127,359610,1419,258545,708,101065
GoogleNestMini (US1-1),144000,2150,369272,1427,262775,723,106497
GoogleNestMini (US1-1),147600,2605,901461,1488,261202,1117,640259
GoogleNestMini (US1-1),151200,3036,1064717,1783,353906,1253,710811
GoogleNestMini (US1-1),154800,2567,452728,1717,324474,850,128254
GoogleNestMini (US1-1),158400,2551,469283,1702,328657,849,140626
GoogleNestMini (US1-1),162000,2440,423195,1639,310816,801,112379
GoogleNestMini (US1-1),165600,2534,464072,1674,329789,860,134283
GoogleNestMini (US1-1),169200,2958,991335,1740,332167,1218,659168
GoogleNestMini (US1-1),172800,2500,453523,1659,317008,841,136515
GoogleNestMini (US1-1),176400,2407,422261,1597,305393,810,116868
GoogleNestMini (US1-1),180000,2520,461544,1677,329559,843,131985
GoogleNestMini (US1-1),183600,2505,452144,1672,323204,833,128940
GoogleNestMini (US1-1),187200,2510,445043,1692,318831,818,126212
GoogleNestMini (US1-1),190800,2956,990853,1736,325897,1220,664956
GoogleNestMini (US1-1),194400,5503,3197282,2935,647571,2568,2549711
GoogleNestMini (US1-1),198000,2251,400129,1496,288140,755,111989
GoogleNestMini (US1-1),201600,2086,347648,1397,254244,689,93404
GoogleNestMini (US1-1),205200,2040,331840,1357,244359,683,87481
GoogleNestMini (US1-1),208800,2182,380461,1449,272123,733,108338
GoogleNestMini (US1-1),212400,2110,358694,1407,258305,703,100389
GoogleNestMini (US1-1),216000,2081,343988,1384,249704,697,94284
GoogleNestMini (US1-1),219600,2626,922066,1514,273373,1112,648693
GoogleNestMini (US1-1),223200,2311,411177,1527,287159,784,124018
GoogleNestMini (US1-1),226800,2194,383363,1472,266346,722,117017
GoogleNestMini (US1-1),230400,2059,341626,1370,248145,689,93481
GoogleNestMini (US1-1),234000,2120,357134,1424,260250,696,96884
GoogleNestMini (US1-1),237600,3030,1077781,1754,346749,1276,731032
