Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Litokam (US1-Active),0,602,61095,331,29417,271,31678
Litokam (US1-Active),3600,613,60923,337,30773,276,30150
Litokam (US1-Active),7200,599,58279,330,29276,269,29003
Litokam (US1-Active),10800,600,58595,330,29457,270,29138
Litokam (US1-Active),14400,639,66781,351,32739,288,34042
Litokam (US1-Active),18000,598,58213,330,29276,268,28937
Litokam (US1-Active),21600,631,67347,347,31583,284,35764
Litokam (US1-Active),25200,603,61161,332,29483,271,31678
Litokam (US1-Active),28800,608,61741,336,29928,272,31813
Litokam (US1-Active),32400,628,67149,346,31517,282,35632
Litokam (US1-Active),36000,626,66671,344,31236,282,35435
Litokam (US1-Active),39600,573,63947,318,30178,255,33769
Litokam (US1-Active),43200,290,39823,179,20777,111,19046
Litokam (US1-Active),46800,547,57715,306,27948,241,29767
Litokam (US1-Active),50400,626,64399,342,31178,284,33221
Litokam (US1-Active),54000,599,58279,330,29276,269,29003
Litokam (US1-Active),57600,655,73061,359,33405,296,39656
Litokam (US1-Active),61200,599,58279,327,29078,272,29201
Litokam (US1-Active),64800,599,58403,326,29136,273,29267
Litokam (US1-Active),68400,626,67017,340,31121,286,35896
Litokam (US1-Active),72000,597,60765,325,29021,272,31744
Litokam (US1-Active),75600,630,67269,346,31505,284,35764
Litokam (US1-Active),79200,636,66507,349,32547,287,33960
Litokam (US1-Active),82800,607,61675,333,29730,274,31945
Litokam (US1-Active),86400,632,67413,349,31715,283,35698
Litokam (US1-Active),90000,600,58345,332,29408,268,28937
Litokam (US1-Active),93600,629,67215,346,31517,283,35698
Litokam (US1-Active),97200,604,61089,332,29414,272,31675
Litokam (US1-Active),100800,616,61163,339,31006,277,30157
Litokam (US1-Active),104400,632,67413,349,31715,283,35698
Litokam (US1-Active),108000,606,61359,335,29681,271,31678
Litokam (US1-Active),111600,625,66951,342,31253,283,35698
Litokam (US1-Active),115200,596,58081,328,29144,268,28937
Litokam (US1-Active),118800,609,61807,333,29730,276,32077
Litokam (US1-Active),122400,654,69399,359,34274,295,35125
Litokam (US1-Active),126000,608,61491,335,29681,273,31810
Litokam (US1-Active),129600,633,67479,349,31715,284,35764
Litokam (US1-Active),133200,591,57613,325,28877,266,28736
Litokam (US1-Active),136800,608,61741,334,29796,274,31945
Litokam (US1-Active),140400,631,67359,347,31595,284,35764
Litokam (US1-Active),144000,614,60781,338,30759,276,30022
Litokam (US1-Active),147600,623,66819,340,31121,283,35698
Litokam (US1-Active),151200,608,61515,335,29705,273,31810
Litokam (US1-Active),154800,607,61687,334,29808,273,31879
Litokam (US1-Active),158400,629,67215,344,31385,285,35830
Litokam (US1-Active),162000,599,58279,329,29210,270,29069
Litokam (US1-Active),165600,675,78655,372,35325,303,43330
Litokam (US1-Active),169200,592,57679,324,28811,268,28868
Litokam (US1-Active),172800,601,58661,330,29457,271,29204
Litokam (US1-Active),176400,629,67227,346,31529,283,35698
Litokam (US1-Active),180000,605,61293,334,29615,271,31678
Litokam (US1-Active),183600,623,64201,344,31310,279,32891
Litokam (US1-Active),187200,626,66821,344,31317,282,35504
Litokam (US1-Active),190800,607,61687,335,29874,272,31813
Litokam (US1-Active),194400,646,69977,355,33130,291,36847
Litokam (US1-Active),198000,603,61161,331,29417,272,31744
Litokam (US1-Active),201600,630,67281,348,31649,282,35632
Litokam (US1-Active),205200,605,61305,335,29693,270,31612
Litokam (US1-Active),208800,630,67185,348,31681,282,35504
Litokam (US1-Active),212400,630,67281,347,31583,283,35698
Litokam (US1-Active),216000,606,61359,334,29615,272,31744
Litokam (US1-Active),219600,621,64081,343,31256,278,32825
Litokam (US1-Active),223200,605,61293,332,29483,273,31810
Litokam (US1-Active),226800,600,58595,331,29523,269,29072
Litokam (US1-Active),230400,650,72731,358,33339,292,39392
Litokam (US1-Active),234000,609,61569,335,29693,274,31876
Litokam (US1-Active),237600,627,67083,343,31319,284,35764
