Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Netvue (US1-Active),0,116,30323,68,13201,48,17122
Netvue (US1-Active),3600,114,30388,67,13318,47,17070
Netvue (US1-Active),7200,119,30791,68,13495,51,17296
Netvue (US1-Active),10800,114,30327,67,13257,47,17070
Netvue (US1-Active),14400,118,30443,68,13201,50,17242
Netvue (US1-Active),18000,167,47835,97,17851,70,29984
Netvue (US1-Active),21600,166,48184,97,18254,69,29930
Netvue (US1-Active),25200,142,39460,82,15845,60,23615
Netvue (US1-Active),28800,187,55030,110,18871,77,36159
Netvue (US1-Active),32400,117,30983,68,13795,49,17188
Netvue (US1-Active),36000,114,30178,67,13120,47,17058
Netvue (US1-Active),39600,293,79758,164,25028,129,54730
Netvue (US1-Active),43200,436,83750,267,25805,169,57945
Netvue (US1-Active),46800,317,58321,203,35031,114,23290
Netvue (US1-Active),50400,295,45792,187,22841,108,22951
Netvue (US1-Active),54000,297,45888,187,22812,110,23076
Netvue (US1-Active),57600,297,45990,188,22982,109,23008
Netvue (US1-Active),61200,294,45957,187,23067,107,22890
Netvue (US1-Active),64800,286,40213,182,22812,104,17401
Netvue (US1-Active),68400,296,45917,187,22919,109,22998
Netvue (US1-Active),72000,295,45716,187,22772,108,22944
Netvue (US1-Active),75600,323,54812,202,24500,121,30312
Netvue (US1-Active),79200,295,45806,187,22862,108,22944
Netvue (US1-Active),82800,300,46551,188,23345,112,23206
Netvue (US1-Active),86400,299,45994,189,22887,110,23107
Netvue (US1-Active),90000,294,45981,187,23091,107,22890
Netvue (US1-Active),93600,289,39967,183,22448,106,17519
Netvue (US1-Active),97200,299,46066,188,22926,111,23140
Netvue (US1-Active),100800,296,45945,187,22935,109,23010
Netvue (US1-Active),104400,323,54951,202,25438,121,29513
Netvue (US1-Active),108000,347,62857,217,27053,130,35804
Netvue (US1-Active),111600,312,49008,196,25128,116,23880
Netvue (US1-Active),115200,346,62696,216,26868,130,35828
Netvue (US1-Active),118800,295,46336,187,23392,108,22944
Netvue (US1-Active),122400,296,46053,188,23099,108,22954
Netvue (US1-Active),126000,294,45699,187,22809,107,22890
Netvue (US1-Active),129600,295,45859,187,22915,108,22944
Netvue (US1-Active),133200,301,46227,188,22955,113,23272
Netvue (US1-Active),136800,295,46080,187,23136,108,22944
Netvue (US1-Active),140400,294,45818,184,22730,110,23088
Netvue (US1-Active),144000,300,46175,188,22978,112,23197
Netvue (US1-Active),147600,294,45627,187,22735,107,22892
Netvue (US1-Active),151200,290,40944,183,23368,107,17576
Netvue (US1-Active),154800,295,45644,187,22698,108,22946
Netvue (US1-Active),158400,298,46070,188,22993,110,23077
Netvue (US1-Active),162000,296,45824,187,22800,109,23024
Netvue (US1-Active),165600,298,46127,187,22983,111,23144
Netvue (US1-Active),169200,295,45929,186,22948,109,22981
Netvue (US1-Active),172800,297,46300,188,23277,109,23023
Netvue (US1-Active),176400,297,46030,187,22964,110,23066
Netvue (US1-Active),180000,320,54480,202,24351,118,30129
Netvue (US1-Active),183600,294,45658,187,22766,107,22892
Netvue (US1-Active),187200,297,46121,187,23067,110,23054
Netvue (US1-Active),190800,324,54286,204,24795,120,29491
Netvue (US1-Active),194400,344,63356,216,27668,128,35688
Netvue (US1-Active),198000,320,54813,201,25430,119,29383
Netvue (US1-Active),201600,349,63088,217,27150,132,35938
Netvue (US1-Active),205200,297,46908,188,23920,109,22988
Netvue (US1-Active),208800,296,45956,188,22999,108,22957
Netvue (US1-Active),212400,297,45984,188,22973,109,23011
Netvue (US1-Active),216000,294,45640,187,22748,107,22892
Netvue (US1-Active),219600,297,46129,188,23118,109,23011
Netvue (US1-Active),223200,294,45694,187,22814,107,22880
Netvue (US1-Active),226800,297,46038,188,23039,109,22999
Netvue (US1-Active),230400,295,46662,187,23728,108,22934
Netvue (US1-Active),234000,297,45976,188,22977,109,22999
Netvue (US1-Active),237600,300,46606,188,23445,112,23161
