Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhillipsBridge (US1-1),0,1234,255164,926,232829,308,22335
PhillipsBridge (US1-1),3600,1527,344059,1097,302683,430,41376
PhillipsBridge (US1-1),7200,1268,267116,960,245213,308,21903
PhillipsBridge (US1-1),10800,1295,273510,960,243227,335,30283
PhillipsBridge (US1-1),14400,1190,245702,893,224717,297,20985
PhillipsBridge (US1-1),18000,1483,302692,1059,263582,424,39110
PhillipsBridge (US1-1),21600,1230,255673,912,229923,318,25750
PhillipsBridge (US1-1),25200,1384,286783,1019,257118,365,29665
PhillipsBridge (US1-1),28800,1237,261064,938,239971,299,21093
PhillipsBridge (US1-1),32400,1192,250700,899,230147,293,20553
PhillipsBridge (US1-1),36000,1191,250634,902,230369,289,20265
PhillipsBridge (US1-1),39600,1740,386554,1237,331568,503,54986
PhillipsBridge (US1-1),43200,1551,351308,1106,307160,445,44148
PhillipsBridge (US1-1),46800,1242,260796,933,235780,309,25016
PhillipsBridge (US1-1),50400,1355,285363,1011,260551,344,24812
PhillipsBridge (US1-1),54000,1193,244846,882,219710,311,25136
PhillipsBridge (US1-1),57600,1331,278787,989,253914,342,24873
PhillipsBridge (US1-1),61200,1235,264182,941,243539,294,20643
PhillipsBridge (US1-1),64800,2090,416266,1407,323102,683,93164
PhillipsBridge (US1-1),68400,1439,289741,1042,260159,397,29582
PhillipsBridge (US1-1),72000,1278,263188,953,239791,325,23397
PhillipsBridge (US1-1),75600,1371,281991,1009,255559,362,26432
PhillipsBridge (US1-1),79200,1416,299793,1060,273877,356,25916
PhillipsBridge (US1-1),82800,1219,253086,915,231543,304,21543
PhillipsBridge (US1-1),86400,1313,275992,965,241572,348,34420
PhillipsBridge (US1-1),90000,1522,349402,1106,309106,416,40296
PhillipsBridge (US1-1),93600,1247,259431,931,233809,316,25622
PhillipsBridge (US1-1),97200,1228,259340,916,234150,312,25190
PhillipsBridge (US1-1),100800,1187,245426,887,224243,300,21183
PhillipsBridge (US1-1),104400,1356,285437,1011,260571,345,24866
PhillipsBridge (US1-1),108000,1229,263626,939,243343,290,20283
PhillipsBridge (US1-1),111600,1331,278407,988,253685,343,24722
PhillipsBridge (US1-1),115200,1218,253504,908,228422,310,25082
PhillipsBridge (US1-1),118800,1216,257660,922,237017,294,20643
PhillipsBridge (US1-1),122400,1266,265300,943,235977,323,29323
PhillipsBridge (US1-1),126000,1232,263940,939,243363,293,20577
PhillipsBridge (US1-1),129600,1334,278677,990,253865,344,24812
PhillipsBridge (US1-1),133200,1202,253086,909,232569,293,20517
PhillipsBridge (US1-1),136800,1310,271721,969,247179,341,24542
PhillipsBridge (US1-1),140400,1198,251212,904,230569,294,20643
PhillipsBridge (US1-1),144000,1374,286231,1012,256753,362,29478
PhillipsBridge (US1-1),147600,1235,259166,926,234274,309,24892
PhillipsBridge (US1-1),151200,1591,336020,1149,292314,442,43706
PhillipsBridge (US1-1),154800,1183,246600,890,226047,293,20553
PhillipsBridge (US1-1),158400,1331,278447,991,253923,340,24524
PhillipsBridge (US1-1),162000,1194,250880,901,230303,293,20577
PhillipsBridge (US1-1),165600,1155,237734,861,217091,294,20643
PhillipsBridge (US1-1),169200,1353,285199,1009,260387,344,24812
PhillipsBridge (US1-1),172800,1344,281923,985,243542,359,38381
PhillipsBridge (US1-1),176400,1358,309121,994,273346,364,35775
PhillipsBridge (US1-1),180000,1383,291702,1025,262631,358,29071
PhillipsBridge (US1-1),183600,1232,263005,922,237995,310,25010
PhillipsBridge (US1-1),187200,1218,257774,924,237167,294,20607
PhillipsBridge (US1-1),190800,1371,290605,1027,265793,344,24812
PhillipsBridge (US1-1),194400,1201,254126,909,233627,292,20499
PhillipsBridge (US1-1),198000,1154,237608,860,217001,294,20607
PhillipsBridge (US1-1),201600,1260,265274,949,240138,311,25136
PhillipsBridge (US1-1),205200,1189,250418,898,230045,291,20373
PhillipsBridge (US1-1),208800,1387,286497,1013,252963,374,33534
PhillipsBridge (US1-1),212400,1185,246780,891,226137,294,20643
PhillipsBridge (US1-1),216000,1367,286371,1008,257274,359,29097
PhillipsBridge (US1-1),219600,1218,257820,923,237123,295,20697
PhillipsBridge (US1-1),223200,1231,263838,939,243375,292,20463
PhillipsBridge (US1-1),226800,1360,285777,1015,260911,345,24866
PhillipsBridge (US1-1),230400,1227,257878,920,232947,307,24931
PhillipsBridge (US1-1),234000,1181,246420,889,225957,292,20463
PhillipsBridge (US1-1),237600,1595,330508,1132,281010,463,49498
