Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoShow5 (FR-1),0,3145,2230671,1649,625846,1496,1604825
EchoShow5 (FR-1),3600,2865,2079557,1477,504479,1388,1575078
EchoShow5 (FR-1),7200,1687,614684,828,302144,859,312540
EchoShow5 (FR-1),10800,2549,1838960,1369,367540,1180,1471420
EchoShow5 (FR-1),14400,1709,779414,835,308246,874,471168
EchoShow5 (FR-1),18000,2986,2107129,1623,462802,1363,1644327
EchoShow5 (FR-1),21600,1773,798003,877,319473,896,478530
EchoShow5 (FR-1),25200,3545,2687627,1995,1546202,1550,1141425
EchoShow5 (FR-1),28800,1770,729645,878,337272,892,392373
EchoShow5 (FR-1),32400,2478,1741109,1282,417711,1196,1323398
EchoShow5 (FR-1),36000,1886,858778,923,356238,963,502540
EchoShow5 (FR-1),39600,2616,1728514,1377,435786,1239,1292728
EchoShow5 (FR-1),43200,1825,749978,909,348354,916,401624
EchoShow5 (FR-1),46800,2499,1881332,1311,415007,1188,1466325
EchoShow5 (FR-1),50400,1607,529493,796,294620,811,234873
EchoShow5 (FR-1),54000,3698,2909872,2110,1463145,1588,1446727
EchoShow5 (FR-1),57600,2879,3693187,1331,413126,1548,3280061
EchoShow5 (FR-1),61200,4302,4614470,2607,509559,1695,4104911
EchoShow5 (FR-1),64800,1799,802346,907,326930,892,475416
EchoShow5 (FR-1),68400,3472,3809753,1947,427972,1525,3381781
EchoShow5 (FR-1),72000,2283,1094657,1165,411795,1118,682862
EchoShow5 (FR-1),75600,3547,4390361,1941,405175,1606,3985186
EchoShow5 (FR-1),79200,1919,906736,971,391484,948,515252
EchoShow5 (FR-1),82800,6327,5930313,3569,1814025,2758,4116288
EchoShow5 (FR-1),86400,2528,1122757,1344,492443,1184,630314
EchoShow5 (FR-1),90000,2614,2227187,1310,362679,1304,1864508
EchoShow5 (FR-1),93600,1876,842872,956,354739,920,488133
EchoShow5 (FR-1),97200,2694,2089086,1407,441842,1287,1647244
EchoShow5 (FR-1),100800,1772,821190,871,344678,901,476512
EchoShow5 (FR-1),104400,2483,1455590,1259,426249,1224,1029341
EchoShow5 (FR-1),108000,1770,796468,869,316379,901,480089
EchoShow5 (FR-1),111600,3609,2787496,2074,1513402,1535,1274094
EchoShow5 (FR-1),115200,1647,758664,815,312820,832,445844
EchoShow5 (FR-1),118800,2441,1609169,1262,373289,1179,1235880
EchoShow5 (FR-1),122400,1739,808750,850,342617,889,466133
EchoShow5 (FR-1),126000,2770,1724088,1463,477722,1307,1246366
EchoShow5 (FR-1),129600,1862,880209,911,362742,951,517467
EchoShow5 (FR-1),133200,2057,1349454,1059,350957,998,998497
EchoShow5 (FR-1),136800,1931,879016,979,361534,952,517482
EchoShow5 (FR-1),140400,4047,2946065,2279,1546779,1768,1399286
EchoShow5 (FR-1),144000,2866,2998878,1543,389513,1323,2609365
EchoShow5 (FR-1),147600,2572,2249453,1333,388559,1239,1860894
EchoShow5 (FR-1),151200,1992,1054809,1043,357265,949,697544
EchoShow5 (FR-1),154800,3028,2568701,1688,448924,1340,2119777
EchoShow5 (FR-1),158400,2703,2006240,1524,398948,1179,1607292
EchoShow5 (FR-1),162000,3048,2679967,1639,495015,1409,2184952
EchoShow5 (FR-1),165600,2357,2198028,1223,385840,1134,1812188
EchoShow5 (FR-1),169200,5475,4280068,3107,1643375,2368,2636693
EchoShow5 (FR-1),172800,2820,2547877,1491,480916,1329,2066961
EchoShow5 (FR-1),176400,2493,2098076,1288,382651,1205,1715425
EchoShow5 (FR-1),180000,2125,1195085,1060,376070,1065,819015
EchoShow5 (FR-1),183600,2310,1424090,1173,386051,1137,1038039
EchoShow5 (FR-1),187200,1741,790705,866,312216,875,478489
EchoShow5 (FR-1),190800,2504,1742237,1251,440197,1253,1302040
EchoShow5 (FR-1),194400,1813,726057,895,338231,918,387826
EchoShow5 (FR-1),198000,3545,2742465,2001,1586763,1544,1155702
EchoShow5 (FR-1),201600,1791,836518,871,352816,920,483702
EchoShow5 (FR-1),205200,2144,1373381,1081,386291,1063,987090
EchoShow5 (FR-1),208800,1766,721975,865,333682,901,388293
EchoShow5 (FR-1),212400,2716,1813438,1387,459327,1329,1354111
EchoShow5 (FR-1),216000,1857,856996,929,362577,928,494419
EchoShow5 (FR-1),219600,2159,1375169,1100,394091,1059,981078
EchoShow5 (FR-1),223200,1859,914921,908,369082,951,545839
EchoShow5 (FR-1),226800,3799,2750968,2108,1540113,1691,1210855
EchoShow5 (FR-1),230400,2006,915213,1028,371611,978,543602
EchoShow5 (FR-1),234000,2213,1357616,1149,342239,1064,1015377
EchoShow5 (FR-1),237600,2263,1694250,1109,385975,1154,1308275
EchoShow5 (FR-1),241200,2627,2000582,1360,419403,1267,1581179
EchoShow5 (FR-1),244800,2155,914828,1112,368014,1043,546814
EchoShow5 (FR-1),248400,2608,1668287,1347,441599,1261,1226688
EchoShow5 (FR-1),252000,1770,701362,900,338758,870,362604
EchoShow5 (FR-2),0,2608,2941835,1266,371780,1342,2570055
EchoShow5 (FR-2),3600,2301,1617785,1220,392697,1081,1225088
EchoShow5 (FR-2),7200,2532,2479880,1310,421012,1222,2058868
EchoShow5 (FR-2),10800,2226,1396350,1188,386427,1038,1009923
EchoShow5 (FR-2),14400,1757,848156,870,361404,887,486752
EchoShow5 (FR-2),18000,4081,3187761,2275,1282855,1806,1904906
EchoShow5 (FR-2),21600,1674,786578,811,332362,863,454216
EchoShow5 (FR-2),25200,2583,2027151,1371,435199,1212,1591952
EchoShow5 (FR-2),28800,1808,892604,888,397844,920,494760
EchoShow5 (FR-2),32400,2739,1730139,1492,466007,1247,1264132
EchoShow5 (FR-2),36000,1802,853644,872,374747,930,478897
EchoShow5 (FR-2),39600,2001,1261768,1007,365077,994,896691
EchoShow5 (FR-2),43200,2371,1547603,1288,370936,1083,1176667
EchoShow5 (FR-2),46800,3730,3411636,2067,1162836,1663,2248800
EchoShow5 (FR-2),50400,1691,789011,823,336658,868,452353
EchoShow5 (FR-2),54000,3385,3244010,1866,489576,1519,2754434
EchoShow5 (FR-2),57600,1563,662483,756,324843,807,337640
EchoShow5 (FR-2),61200,3526,4151792,1851,489873,1675,3661919
EchoShow5 (FR-2),64800,1679,707696,833,352251,846,355445
EchoShow5 (FR-2),68400,4000,5325437,2241,475008,1759,4850429
EchoShow5 (FR-2),72000,1769,814258,875,387590,894,426668
EchoShow5 (FR-2),75600,6116,5533211,3630,1461530,2486,4071681
EchoShow5 (FR-2),79200,2120,1143705,1071,372421,1049,771284
EchoShow5 (FR-2),82800,2807,2315128,1506,542252,1301,1772876
EchoShow5 (FR-2),86400,1703,704063,855,329085,848,374978
EchoShow5 (FR-2),90000,2463,1779487,1352,417897,1111,1361590
EchoShow5 (FR-2),93600,1639,693245,805,345696,834,347549
EchoShow5 (FR-2),97200,2379,1493933,1229,412009,1150,1081924
EchoShow5 (FR-2),100800,1862,782917,948,366713,914,416204
EchoShow5 (FR-2),104400,3573,2549431,1972,1188791,1601,1360640
EchoShow5 (FR-2),108000,1609,674700,777,325841,832,348859
EchoShow5 (FR-2),111600,2435,1597410,1308,440084,1127,1157326
EchoShow5 (FR-2),115200,1723,783908,838,365218,885,418690
EchoShow5 (FR-2),118800,2532,1440560,1313,429005,1219,1011555
EchoShow5 (FR-2),122400,1773,761651,875,390795,898,370856
EchoShow5 (FR-2),126000,1997,1252816,1024,379990,973,872826
EchoShow5 (FR-2),129600,2653,3356591,1280,375185,1373,2981406
EchoShow5 (FR-2),133200,3271,2434968,1868,1125120,1403,1309848
EchoShow5 (FR-2),136800,1631,686501,787,346134,844,340367
EchoShow5 (FR-2),140400,2672,2335209,1428,448697,1244,1886512
EchoShow5 (FR-2),144000,1662,693267,811,335552,851,357715
EchoShow5 (FR-2),147600,3161,3131950,1688,474649,1473,2657301
EchoShow5 (FR-2),151200,1727,711177,841,334513,886,376664
EchoShow5 (FR-2),154800,2824,2658170,1501,509081,1323,2149089
EchoShow5 (FR-2),158400,1799,784924,918,357061,881,427863
EchoShow5 (FR-2),162000,4470,3160827,2503,1344189,1967,1816638
EchoShow5 (FR-2),165600,1949,787773,997,389811,952,397962
EchoShow5 (FR-2),169200,2878,2517277,1496,558371,1382,1958906
EchoShow5 (FR-2),172800,1580,638499,775,299153,805,339346
EchoShow5 (FR-2),176400,2667,1902289,1429,476839,1238,1425450
EchoShow5 (FR-2),180000,1621,694189,779,342263,842,351926
EchoShow5 (FR-2),183600,2219,1379828,1145,402472,1074,977356
EchoShow5 (FR-2),187200,1707,698841,841,323139,866,375702
EchoShow5 (FR-2),190800,3426,2345709,1902,1150251,1524,1195458
EchoShow5 (FR-2),194400,1749,676803,876,312454,873,364349
EchoShow5 (FR-2),198000,2624,1582138,1370,470353,1254,1111785
EchoShow5 (FR-2),201600,1757,711929,881,349372,876,362557
EchoShow5 (FR-2),205200,2754,1788931,1474,463142,1280,1325789
EchoShow5 (FR-2),208800,1613,682288,789,346379,824,335909
EchoShow5 (FR-2),212400,2024,1268629,1004,384320,1020,884309
EchoShow5 (FR-2),216000,2729,2732544,1524,415172,1205,2317372
EchoShow5 (FR-2),219600,3105,2097825,1712,1150130,1393,947695
EchoShow5 (FR-2),223200,1688,713824,823,343052,865,370772
EchoShow5 (FR-2),226800,2223,1328624,1115,414222,1108,914402
EchoShow5 (FR-2),230400,1639,669985,801,326310,838,343675
EchoShow5 (FR-2),234000,2274,1401007,1136,445272,1138,955735
EchoShow5 (FR-2),237600,1681,691686,819,332917,862,358769
EchoShow5 (FR-2),241200,2654,1955208,1430,467385,1224,1487823
EchoShow5 (FR-2),244800,1799,829578,867,402097,932,427481
EchoShow5 (FR-2),248400,2607,2060211,1365,358105,1242,1702106
EchoShow5 (FR-2),252000,3597,1880726,2013,1256788,1584,623938
EchoShow5 (FR-2),255600,2633,2249060,1415,489262,1218,1759798
EchoShow5 (FR-2),259200,1743,685410,864,322219,879,363191
EchoShow5 (FR-2),262800,3094,2591112,1735,461156,1359,2129956
EchoShow5 (FR-2),266400,1635,664152,794,310106,841,354046
EchoShow5 (FR-2),270000,2046,1333861,1027,418848,1019,915013
EchoShow5 (FR-2),273600,1760,714661,869,335766,891,378895
EchoShow5 (FR-2),277200,2536,1508420,1327,486401,1209,1022019
EchoShow5 (FR-2),280800,2734,1495280,1508,1094392,1226,400888
EchoShow5 (FR-2),284400,2265,1349202,1170,378863,1095,970339
EchoShow5 (FR-2),288000,2041,742271,1038,319097,1003,423174
EchoShow5 (FR-2),291600,3436,1570841,1861,545344,1575,1025497
EchoShow5 (FR-2),295200,2149,801870,1099,370681,1050,431189
EchoShow5 (FR-2),298800,2714,2469742,1465,456115,1249,2013627
EchoShow5 (FR-2),302400,1684,933984,850,325145,834,608839
EchoShow5 (FR-2),306000,2120,1374797,1098,433443,1022,941354
EchoShow5 (FR-2),309600,2579,1456667,1393,1043617,1186,413050
EchoShow5 (FR-2),313200,2324,1343355,1183,505825,1141,837530
EchoShow5 (FR-2),316800,1694,733693,830,273710,864,459983
EchoShow5 (FR-2),320400,2258,1215574,1150,400054,1108,815520
EchoShow5 (FR-2),324000,2211,841444,1161,365587,1050,475857
EchoShow5 (FR-2),327600,2190,1266814,1121,418200,1069,848614
