Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DreamGlassAir (US1-1),0,68,8202,42,5215,26,2987
DreamGlassAir (US1-1),3600,53,5204,33,2886,20,2318
DreamGlassAir (US1-1),7200,54,5270,33,2886,21,2384
DreamGlassAir (US1-1),10800,51,5097,32,2832,19,2265
DreamGlassAir (US1-1),14400,51,5095,32,2832,19,2263
DreamGlassAir (US1-1),18000,56,5409,33,2886,23,2523
DreamGlassAir (US1-1),21600,53,5208,33,2886,20,2322
DreamGlassAir (US1-1),25200,51,5100,32,2832,19,2268
DreamGlassAir (US1-1),28800,48,4847,30,2670,18,2177
DreamGlassAir (US1-1),32400,57,5546,34,2994,23,2552
DreamGlassAir (US1-1),36000,85,10753,52,5585,33,5168
DreamGlassAir (US1-1),39600,55,5423,34,2994,21,2429
DreamGlassAir (US1-1),43200,51,5095,32,2832,19,2263
DreamGlassAir (US1-1),46800,52,5170,32,2832,20,2338
DreamGlassAir (US1-1),50400,51,5102,32,2832,19,2270
DreamGlassAir (US1-1),54000,53,5231,32,2832,21,2399
DreamGlassAir (US1-1),57600,54,5274,34,2952,20,2322
DreamGlassAir (US1-1),61200,16199,7879354,16164,7875686,35,3668
DreamGlassAir (US1-1),64800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),68400,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),72000,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),75600,16318,7924266,16269,7918810,49,5456
DreamGlassAir (US1-1),79200,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),82800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),86400,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),90000,16151,7854910,16116,7851244,35,3666
DreamGlassAir (US1-1),93600,16267,7917328,16240,7914910,27,2418
DreamGlassAir (US1-1),97200,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),100800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),104400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),108000,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),111600,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),115200,16319,7925244,16269,7918630,50,6614
DreamGlassAir (US1-1),118800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),122400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),126000,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),129600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),133200,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),136800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),140400,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),144000,16150,7854859,16116,7851244,34,3615
DreamGlassAir (US1-1),147600,16270,7917593,16242,7915084,28,2509
DreamGlassAir (US1-1),151200,16149,7854799,16115,7851178,34,3621
DreamGlassAir (US1-1),154800,16325,7927033,16274,7921427,51,5606
DreamGlassAir (US1-1),158400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),162000,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),165600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),169200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),172800,16265,7917806,16237,7915297,28,2509
DreamGlassAir (US1-1),176400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),180000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),183600,16150,7854866,16116,7851244,34,3622
DreamGlassAir (US1-1),187200,16270,7919721,16242,7917212,28,2509
DreamGlassAir (US1-1),190800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),194400,16328,7928318,16276,7921558,52,6760
DreamGlassAir (US1-1),198000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),201600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),205200,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),208800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),212400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),216000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),219600,16284,7919547,16252,7916114,32,3433
DreamGlassAir (US1-1),223200,16274,7920873,16247,7917858,27,3015
DreamGlassAir (US1-1),226800,16150,7852363,16115,7848694,35,3669
DreamGlassAir (US1-1),230400,16272,7920197,16243,7917622,29,2575
DreamGlassAir (US1-1),234000,16317,7924040,16268,7918577,49,5463
DreamGlassAir (US1-1),237600,16271,7917659,16241,7915018,30,2641
DreamGlassAir (US1-1),241200,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),244800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),248400,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),252000,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),255600,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),259200,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),262800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),266400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),270000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),273600,16326,7928206,16275,7921504,51,6702
DreamGlassAir (US1-1),277200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),280800,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),284400,16271,7917659,16241,7915018,30,2641
DreamGlassAir (US1-1),288000,16153,7855109,16118,7851406,35,3703
DreamGlassAir (US1-1),291600,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),295200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),298800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),302400,16272,7920197,16243,7917622,29,2575
DreamGlassAir (US1-1),306000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),309600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),313200,16319,7924159,16269,7918631,50,5528
DreamGlassAir (US1-1),316800,16272,7920197,16243,7917622,29,2575
DreamGlassAir (US1-1),320400,16267,7917328,16240,7914910,27,2418
DreamGlassAir (US1-1),324000,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),327600,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),331200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),334800,16268,7917394,16240,7914910,28,2484
DreamGlassAir (US1-1),338400,16151,7852430,16115,7848694,36,3736
DreamGlassAir (US1-1),342000,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),345600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),349200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),352800,16318,7925196,16269,7918630,49,6566
DreamGlassAir (US1-1),356400,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),360000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),363600,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),367200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),370800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),374400,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),378000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),381600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),385200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),388800,16269,7919944,16241,7917460,28,2484
DreamGlassAir (US1-1),392400,16320,7924284,16270,7918739,50,5545
DreamGlassAir (US1-1),396000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),399600,16269,7919944,16241,7917460,28,2484
DreamGlassAir (US1-1),403200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),406800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),410400,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),414000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),417600,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),421200,16269,7919944,16241,7917460,28,2484
DreamGlassAir (US1-1),424800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),428400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),432000,16325,7928154,16274,7921450,51,6704
DreamGlassAir (US1-1),435600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),439200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),442800,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),446400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),450000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),453600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),457200,16272,7920197,16243,7917622,29,2575
DreamGlassAir (US1-1),460800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),464400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),468000,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),471600,16324,7925643,16272,7918883,52,6760
DreamGlassAir (US1-1),475200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),478800,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),482400,16267,7914923,16239,7912414,28,2509
DreamGlassAir (US1-1),486000,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),489600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),493200,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),496800,16269,7915055,16239,7912414,30,2641
DreamGlassAir (US1-1),500400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),504000,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),507600,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),511200,16321,7924352,16270,7918739,51,5613
DreamGlassAir (US1-1),514800,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),518400,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),522000,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),525600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),529200,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),532800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),536400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),540000,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),543600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),547200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),550800,16324,7925613,16273,7918900,51,6713
DreamGlassAir (US1-1),554400,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),558000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),561600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),565200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),568800,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),572400,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),576000,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),579600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),583200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),586800,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),590400,16205,7859433,16147,7852631,58,6802
DreamGlassAir (US1-1),594000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),597600,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),601200,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),604800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),608400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),612000,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),615600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),619200,16153,7855117,16118,7851406,35,3711
DreamGlassAir (US1-1),622800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),626400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),630000,16324,7928099,16274,7921450,50,6649
DreamGlassAir (US1-1),633600,16263,7915202,16235,7912693,28,2509
DreamGlassAir (US1-1),637200,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),640800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),644400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),648000,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),651600,16260,7914949,16233,7912531,27,2418
DreamGlassAir (US1-1),655200,16277,7922456,16249,7919947,28,2509
DreamGlassAir (US1-1),658800,16263,7916052,16236,7913634,27,2418
DreamGlassAir (US1-1),662400,16266,7916424,16238,7913915,28,2509
DreamGlassAir (US1-1),666000,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),669600,16324,7925605,16273,7918901,51,6704
DreamGlassAir (US1-1),673200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),676800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),680400,16272,7920197,16243,7917622,29,2575
DreamGlassAir (US1-1),684000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),687600,16265,7917806,16237,7915297,28,2509
DreamGlassAir (US1-1),691200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),694800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),698400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),702000,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),705600,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),709200,16323,7926952,16273,7921397,50,5555
DreamGlassAir (US1-1),712800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),716400,16156,7857185,16122,7853569,34,3616
DreamGlassAir (US1-1),720000,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),723600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),727200,16151,7854930,16116,7851244,35,3686
DreamGlassAir (US1-1),730800,16272,7920197,16243,7917622,29,2575
DreamGlassAir (US1-1),734400,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),738000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),741600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),745200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),748800,16324,7928010,16273,7921342,51,6668
DreamGlassAir (US1-1),752400,16151,7852416,16116,7848748,35,3668
DreamGlassAir (US1-1),756000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),759600,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),763200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),766800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),770400,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),774000,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),777600,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),781200,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),784800,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),788400,16322,7926802,16272,7921289,50,5513
DreamGlassAir (US1-1),792000,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),795600,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),799200,16271,7920131,16243,7917622,28,2509
DreamGlassAir (US1-1),802800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),806400,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),810000,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),813600,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),817200,16268,7919878,16241,7917460,27,2418
DreamGlassAir (US1-1),820800,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),824400,16271,7917734,16243,7915266,28,2468
DreamGlassAir (US1-1),828000,16331,7926610,16280,7919338,51,7272
DreamGlassAir (US1-1),831600,16150,7854864,16116,7851244,34,3620
DreamGlassAir (US1-1),835200,16269,7917527,16241,7915018,28,2509
DreamGlassAir (US1-1),838800,16266,7917274,16239,7914856,27,2418
DreamGlassAir (US1-1),842400,16269,7919309,16241,7916800,28,2509
DreamGlassAir (US1-1),846000,16153,7855117,16118,7851406,35,3711
DreamGlassAir (US1-1),849600,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),853200,16273,7920263,16243,7917622,30,2641
DreamGlassAir (US1-1),856800,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),860400,16270,7917593,16241,7915018,29,2575
DreamGlassAir (US1-1),864000,16267,7917340,16239,7914856,28,2484
DreamGlassAir (US1-1),867600,16158,7847452,16109,7841999,49,5453
