MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
64:B7:08:A9:2B:20,ALL,ip,18.204.83.38,102,9180,51,4590,51,4590
64:B7:08:A9:2B:20,ALL,ip,18.204.96.150,100,9000,50,4500,50,4500
64:B7:08:A9:2B:20,ALL,ip,18.205.68.150,102,9180,51,4590,51,4590
64:B7:08:A9:2B:20,ALL,ip,18.234.8.250,136,12240,68,6120,68,6120
64:B7:08:A9:2B:20,ALL,ip,209.54.177.114,138,40476,74,9701,64,30775
64:B7:08:A9:2B:20,ALL,ip,209.54.177.117,82,24225,44,5799,38,18426
64:B7:08:A9:2B:20,ALL,ip,209.54.177.153,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,209.54.177.154,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,209.54.178.134,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,ip,209.54.178.164,110,32336,59,7750,51,24586
64:B7:08:A9:2B:20,ALL,ip,209.54.178.166,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,209.54.179.88,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,209.54.179.93,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,209.54.180.25,112,32444,60,7804,52,24640
64:B7:08:A9:2B:20,ALL,ip,209.54.180.27,80,24117,43,5745,37,18372
64:B7:08:A9:2B:20,ALL,ip,209.54.181.4,54,16114,29,3848,25,12266
64:B7:08:A9:2B:20,ALL,ip,209.54.181.98,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,ip,3.214.58.173,94,8460,47,4230,47,4230
64:B7:08:A9:2B:20,ALL,ip,3.215.53.245,98,8820,49,4410,49,4410
64:B7:08:A9:2B:20,ALL,ip,3.234.38.31,116,10440,58,5220,58,5220
64:B7:08:A9:2B:20,ALL,ip,34.226.24.249,134,12060,67,6030,67,6030
64:B7:08:A9:2B:20,ALL,ip,34.236.6.206,100,9000,50,4500,50,4500
64:B7:08:A9:2B:20,ALL,ip,34.239.12.200,86,7740,43,3870,43,3870
64:B7:08:A9:2B:20,ALL,ip,35.153.21.233,98,8820,49,4410,49,4410
64:B7:08:A9:2B:20,ALL,ip,35.168.46.68,114,10260,57,5130,57,5130
64:B7:08:A9:2B:20,ALL,ip,35.175.22.69,94,8460,47,4230,47,4230
64:B7:08:A9:2B:20,ALL,ip,44.215.134.182,54,15742,30,4322,24,11420
64:B7:08:A9:2B:20,ALL,ip,52.119.196.31,57,16276,31,3956,26,12320
64:B7:08:A9:2B:20,ALL,ip,52.119.198.101,29,8165,16,2005,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.119.198.106,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.119.198.109,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.119.198.118,112,32444,60,7804,52,24640
64:B7:08:A9:2B:20,ALL,ip,52.119.198.186,82,24225,44,5799,38,18426
64:B7:08:A9:2B:20,ALL,ip,52.119.198.189,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.119.198.2,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.203.151.208,110,9900,55,4950,55,4950
64:B7:08:A9:2B:20,ALL,ip,52.21.99.195,49,10224,25,3222,24,7002
64:B7:08:A9:2B:20,ALL,ip,52.45.237.36,104,9360,52,4680,52,4680
64:B7:08:A9:2B:20,ALL,ip,52.46.128.81,138,40447,74,9701,64,30746
64:B7:08:A9:2B:20,ALL,ip,52.46.131.169,85,24387,46,5907,39,18480
64:B7:08:A9:2B:20,ALL,ip,52.46.131.209,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.46.143.123,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.46.149.20,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.46.149.57,84,24333,45,5853,39,18480
64:B7:08:A9:2B:20,ALL,ip,52.46.155.112,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,ip,52.46.158.193,51,15952,27,3740,24,12212
64:B7:08:A9:2B:20,ALL,ip,52.94.231.169,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.94.240.240,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,52.94.242.236,57,16305,30,3902,27,12403
64:B7:08:A9:2B:20,ALL,ip,54.147.20.142,2183,225196,1366,153875,817,71321
64:B7:08:A9:2B:20,ALL,ip,54.175.198.86,477,48681,306,34610,171,14071
64:B7:08:A9:2B:20,ALL,ip,54.239.27.82,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,ip,72.21.207.143,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.114,138,40476,74,9701,64,30775
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.117,82,24225,44,5799,38,18426
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.153,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.154,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.134,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.164,110,32336,59,7750,51,24586
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.166,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,209.54.179.88,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,209.54.179.93,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.25,112,32444,60,7804,52,24640
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.27,80,24117,43,5745,37,18372
64:B7:08:A9:2B:20,ALL,tcp,209.54.181.4,54,16114,29,3848,25,12266
64:B7:08:A9:2B:20,ALL,tcp,209.54.181.98,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,tcp,44.215.134.182,54,15742,30,4322,24,11420
64:B7:08:A9:2B:20,ALL,tcp,52.119.196.31,57,16276,31,3956,26,12320
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.101,29,8165,16,2005,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.106,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.109,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.118,112,32444,60,7804,52,24640
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.186,82,24225,44,5799,38,18426
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.189,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.119.198.2,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.21.99.195,49,10224,25,3222,24,7002
64:B7:08:A9:2B:20,ALL,tcp,52.46.128.81,138,40447,74,9701,64,30746
64:B7:08:A9:2B:20,ALL,tcp,52.46.131.169,85,24387,46,5907,39,18480
64:B7:08:A9:2B:20,ALL,tcp,52.46.131.209,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.46.143.123,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.46.149.20,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.46.149.57,84,24333,45,5853,39,18480
64:B7:08:A9:2B:20,ALL,tcp,52.46.155.112,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,tcp,52.46.158.193,51,15952,27,3740,24,12212
64:B7:08:A9:2B:20,ALL,tcp,52.94.231.169,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.94.240.240,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,52.94.242.236,57,16305,30,3902,27,12403
64:B7:08:A9:2B:20,ALL,tcp,54.147.20.142,2183,225196,1366,153875,817,71321
64:B7:08:A9:2B:20,ALL,tcp,54.175.198.86,477,48681,306,34610,171,14071
64:B7:08:A9:2B:20,ALL,tcp,54.239.27.82,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,tcp,72.21.207.143,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,udp,18.204.83.38,102,9180,51,4590,51,4590
64:B7:08:A9:2B:20,ALL,udp,18.204.96.150,100,9000,50,4500,50,4500
64:B7:08:A9:2B:20,ALL,udp,18.205.68.150,102,9180,51,4590,51,4590
64:B7:08:A9:2B:20,ALL,udp,18.234.8.250,136,12240,68,6120,68,6120
64:B7:08:A9:2B:20,ALL,udp,3.214.58.173,94,8460,47,4230,47,4230
64:B7:08:A9:2B:20,ALL,udp,3.215.53.245,98,8820,49,4410,49,4410
64:B7:08:A9:2B:20,ALL,udp,3.234.38.31,116,10440,58,5220,58,5220
64:B7:08:A9:2B:20,ALL,udp,34.226.24.249,134,12060,67,6030,67,6030
64:B7:08:A9:2B:20,ALL,udp,34.236.6.206,100,9000,50,4500,50,4500
64:B7:08:A9:2B:20,ALL,udp,34.239.12.200,86,7740,43,3870,43,3870
64:B7:08:A9:2B:20,ALL,udp,35.153.21.233,98,8820,49,4410,49,4410
64:B7:08:A9:2B:20,ALL,udp,35.168.46.68,114,10260,57,5130,57,5130
64:B7:08:A9:2B:20,ALL,udp,35.175.22.69,94,8460,47,4230,47,4230
64:B7:08:A9:2B:20,ALL,udp,52.203.151.208,110,9900,55,4950,55,4950
64:B7:08:A9:2B:20,ALL,udp,52.45.237.36,104,9360,52,4680,52,4680
64:B7:08:A9:2B:20,ALL,tls,209.54.177.114,56,29128,30,7305,26,21823
64:B7:08:A9:2B:20,ALL,tls,209.54.177.117,33,17427,18,4383,15,13044
64:B7:08:A9:2B:20,ALL,tls,209.54.177.153,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,209.54.177.154,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,209.54.178.134,22,11618,12,2922,10,8696
64:B7:08:A9:2B:20,ALL,tls,209.54.178.164,44,23236,24,5844,20,17392
64:B7:08:A9:2B:20,ALL,tls,209.54.178.166,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,209.54.179.88,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,209.54.179.93,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,209.54.180.25,44,23236,24,5844,20,17392
64:B7:08:A9:2B:20,ALL,tls,209.54.180.27,33,17427,18,4383,15,13044
64:B7:08:A9:2B:20,ALL,tls,209.54.181.4,22,11618,12,2922,10,8696
64:B7:08:A9:2B:20,ALL,tls,209.54.181.98,22,11618,12,2922,10,8696
64:B7:08:A9:2B:20,ALL,tls,44.215.134.182,22,11518,12,3342,10,8176
64:B7:08:A9:2B:20,ALL,tls,52.119.196.31,22,11618,12,2922,10,8696
64:B7:08:A9:2B:20,ALL,tls,52.119.198.101,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.119.198.106,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.119.198.109,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.119.198.118,44,23236,24,5844,20,17392
64:B7:08:A9:2B:20,ALL,tls,52.119.198.186,33,17427,18,4383,15,13044
64:B7:08:A9:2B:20,ALL,tls,52.119.198.189,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.119.198.2,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.21.99.195,26,8974,13,2570,13,6404
64:B7:08:A9:2B:20,ALL,tls,52.46.128.81,55,29045,30,7305,25,21740
64:B7:08:A9:2B:20,ALL,tls,52.46.131.169,33,17427,18,4383,15,13044
64:B7:08:A9:2B:20,ALL,tls,52.46.131.209,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.46.143.123,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.46.149.20,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.46.149.57,33,17427,18,4383,15,13044
64:B7:08:A9:2B:20,ALL,tls,52.46.155.112,22,11618,12,2922,10,8696
64:B7:08:A9:2B:20,ALL,tls,52.46.158.193,22,11618,12,2922,10,8696
64:B7:08:A9:2B:20,ALL,tls,52.94.231.169,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.94.240.240,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,52.94.242.236,23,11701,12,2922,11,8779
64:B7:08:A9:2B:20,ALL,tls,54.147.20.142,1403,183068,701,117961,702,65107
64:B7:08:A9:2B:20,ALL,tls,54.175.198.86,311,39717,156,26510,155,13207
64:B7:08:A9:2B:20,ALL,tls,54.239.27.82,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,tls,72.21.207.143,11,5809,6,1461,5,4348
64:B7:08:A9:2B:20,ALL,ntp,18.204.83.38,102,9180,51,4590,51,4590
64:B7:08:A9:2B:20,ALL,ntp,18.204.96.150,100,9000,50,4500,50,4500
64:B7:08:A9:2B:20,ALL,ntp,18.205.68.150,102,9180,51,4590,51,4590
64:B7:08:A9:2B:20,ALL,ntp,18.234.8.250,136,12240,68,6120,68,6120
64:B7:08:A9:2B:20,ALL,ntp,3.214.58.173,94,8460,47,4230,47,4230
64:B7:08:A9:2B:20,ALL,ntp,3.215.53.245,98,8820,49,4410,49,4410
64:B7:08:A9:2B:20,ALL,ntp,3.234.38.31,116,10440,58,5220,58,5220
64:B7:08:A9:2B:20,ALL,ntp,34.226.24.249,134,12060,67,6030,67,6030
64:B7:08:A9:2B:20,ALL,ntp,34.236.6.206,100,9000,50,4500,50,4500
64:B7:08:A9:2B:20,ALL,ntp,34.239.12.200,86,7740,43,3870,43,3870
64:B7:08:A9:2B:20,ALL,ntp,35.153.21.233,98,8820,49,4410,49,4410
64:B7:08:A9:2B:20,ALL,ntp,35.168.46.68,114,10260,57,5130,57,5130
64:B7:08:A9:2B:20,ALL,ntp,35.175.22.69,94,8460,47,4230,47,4230
64:B7:08:A9:2B:20,ALL,ntp,52.203.151.208,110,9900,55,4950,55,4950
64:B7:08:A9:2B:20,ALL,ntp,52.45.237.36,104,9360,52,4680,52,4680
64:B7:08:A9:2B:20,ALL,tcp:8883,52.21.99.195,49,10224,25,3222,24,7002
64:B7:08:A9:2B:20,ALL,tcp:8883,54.147.20.142,2183,225196,1366,153875,817,71321
64:B7:08:A9:2B:20,ALL,tcp:8883,54.175.198.86,477,48681,306,34610,171,14071
64:B7:08:A9:2B:20,ALL,https,209.54.177.114,138,40476,74,9701,64,30775
64:B7:08:A9:2B:20,ALL,https,209.54.177.117,82,24225,44,5799,38,18426
64:B7:08:A9:2B:20,ALL,https,209.54.177.153,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,209.54.177.154,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,209.54.178.134,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,https,209.54.178.164,110,32336,59,7750,51,24586
64:B7:08:A9:2B:20,ALL,https,209.54.178.166,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,209.54.179.88,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,209.54.179.93,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,209.54.180.25,112,32444,60,7804,52,24640
64:B7:08:A9:2B:20,ALL,https,209.54.180.27,80,24117,43,5745,37,18372
64:B7:08:A9:2B:20,ALL,https,209.54.181.4,54,16114,29,3848,25,12266
64:B7:08:A9:2B:20,ALL,https,209.54.181.98,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,https,44.215.134.182,54,15742,30,4322,24,11420
64:B7:08:A9:2B:20,ALL,https,52.119.196.31,57,16276,31,3956,26,12320
64:B7:08:A9:2B:20,ALL,https,52.119.198.101,29,8165,16,2005,13,6160
64:B7:08:A9:2B:20,ALL,https,52.119.198.106,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.119.198.109,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.119.198.118,112,32444,60,7804,52,24640
64:B7:08:A9:2B:20,ALL,https,52.119.198.186,82,24225,44,5799,38,18426
64:B7:08:A9:2B:20,ALL,https,52.119.198.189,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.119.198.2,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.46.128.81,138,40447,74,9701,64,30746
64:B7:08:A9:2B:20,ALL,https,52.46.131.169,85,24387,46,5907,39,18480
64:B7:08:A9:2B:20,ALL,https,52.46.131.209,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.46.143.123,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.46.149.20,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.46.149.57,84,24333,45,5853,39,18480
64:B7:08:A9:2B:20,ALL,https,52.46.155.112,56,16222,30,3902,26,12320
64:B7:08:A9:2B:20,ALL,https,52.46.158.193,51,15952,27,3740,24,12212
64:B7:08:A9:2B:20,ALL,https,52.94.231.169,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.94.240.240,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,52.94.242.236,57,16305,30,3902,27,12403
64:B7:08:A9:2B:20,ALL,https,54.239.27.82,28,8111,15,1951,13,6160
64:B7:08:A9:2B:20,ALL,https,72.21.207.143,28,8111,15,1951,13,6160
