MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.105,56,6618,31,3064,25,3554
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.233,50,12282,30,5797,20,6485
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.65,11,1313,6,602,5,711
C0:84:7D:2E:9C:86,ALL,ip,1.14.243.73,10,1795,6,1160,4,635
C0:84:7D:2E:9C:86,ALL,ip,101.226.28.236,12,1699,7,680,5,1019
C0:84:7D:2E:9C:86,ALL,ip,114.132.172.71,33,2803,22,1868,11,935
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.239,10,1588,6,626,4,962
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.241,11,1641,6,626,5,1015
C0:84:7D:2E:9C:86,ALL,ip,114.80.179.248,11,1652,6,626,5,1026
C0:84:7D:2E:9C:86,ALL,ip,159.75.147.131,505,42460,334,27024,171,15436
C0:84:7D:2E:9C:86,ALL,ip,159.75.161.166,195,16474,129,10534,66,5940
C0:84:7D:2E:9C:86,ALL,ip,159.75.161.82,758,63862,502,40732,256,23130
C0:84:7D:2E:9C:86,ALL,ip,159.75.162.153,321,27100,212,17272,109,9828
C0:84:7D:2E:9C:86,ALL,ip,159.75.166.48,671,56580,445,36130,226,20450
C0:84:7D:2E:9C:86,ALL,ip,159.75.185.17,763,64192,502,40732,261,23460
C0:84:7D:2E:9C:86,ALL,ip,159.75.241.123,316,26596,208,16934,108,9662
C0:84:7D:2E:9C:86,ALL,ip,180.163.207.105,11,1653,6,626,5,1027
C0:84:7D:2E:9C:86,ALL,ip,180.163.207.107,10,1600,6,626,4,974
C0:84:7D:2E:9C:86,ALL,ip,42.193.236.116,236,19840,154,12544,82,7296
C0:84:7D:2E:9C:86,ALL,ip,42.194.224.216,771,64804,504,40964,267,23840
C0:84:7D:2E:9C:86,ALL,ip,47.107.217.159,260,29568,132,18818,128,10750
C0:84:7D:2E:9C:86,ALL,ip,47.113.57.36,130,14678,65,9270,65,5408
C0:84:7D:2E:9C:86,ALL,ip,47.113.57.59,181,20697,91,13181,90,7516
C0:84:7D:2E:9C:86,ALL,ip,47.113.66.37,160,18135,80,11465,80,6670
C0:84:7D:2E:9C:86,ALL,ip,61.170.77.225,11,1663,6,626,5,1037
C0:84:7D:2E:9C:86,ALL,ip,61.170.79.221,10,1598,6,626,4,972
C0:84:7D:2E:9C:86,ALL,ip,61.170.80.228,10,1589,6,626,4,963
C0:84:7D:2E:9C:86,ALL,ip,61.170.81.235,11,1656,6,626,5,1030
C0:84:7D:2E:9C:86,ALL,ip,61.170.81.237,11,1644,6,626,5,1018
C0:84:7D:2E:9C:86,ALL,ip,81.71.158.163,94,7938,62,5092,32,2846
C0:84:7D:2E:9C:86,ALL,tcp,1.14.243.105,56,6618,31,3064,25,3554
C0:84:7D:2E:9C:86,ALL,tcp,1.14.243.233,50,12282,30,5797,20,6485
C0:84:7D:2E:9C:86,ALL,tcp,1.14.243.65,11,1313,6,602,5,711
C0:84:7D:2E:9C:86,ALL,tcp,1.14.243.73,10,1795,6,1160,4,635
C0:84:7D:2E:9C:86,ALL,tcp,101.226.28.236,12,1699,7,680,5,1019
C0:84:7D:2E:9C:86,ALL,tcp,114.132.172.71,33,2803,22,1868,11,935
C0:84:7D:2E:9C:86,ALL,tcp,114.80.179.239,10,1588,6,626,4,962
C0:84:7D:2E:9C:86,ALL,tcp,114.80.179.241,11,1641,6,626,5,1015
C0:84:7D:2E:9C:86,ALL,tcp,114.80.179.248,11,1652,6,626,5,1026
C0:84:7D:2E:9C:86,ALL,tcp,159.75.147.131,505,42460,334,27024,171,15436
C0:84:7D:2E:9C:86,ALL,tcp,159.75.161.166,195,16474,129,10534,66,5940
C0:84:7D:2E:9C:86,ALL,tcp,159.75.161.82,758,63862,502,40732,256,23130
C0:84:7D:2E:9C:86,ALL,tcp,159.75.162.153,321,27100,212,17272,109,9828
C0:84:7D:2E:9C:86,ALL,tcp,159.75.166.48,671,56580,445,36130,226,20450
C0:84:7D:2E:9C:86,ALL,tcp,159.75.185.17,763,64192,502,40732,261,23460
C0:84:7D:2E:9C:86,ALL,tcp,159.75.241.123,316,26596,208,16934,108,9662
C0:84:7D:2E:9C:86,ALL,tcp,180.163.207.105,11,1653,6,626,5,1027
C0:84:7D:2E:9C:86,ALL,tcp,180.163.207.107,10,1600,6,626,4,974
C0:84:7D:2E:9C:86,ALL,tcp,42.193.236.116,236,19840,154,12544,82,7296
C0:84:7D:2E:9C:86,ALL,tcp,42.194.224.216,771,64804,504,40964,267,23840
C0:84:7D:2E:9C:86,ALL,tcp,47.107.217.159,260,29568,132,18818,128,10750
C0:84:7D:2E:9C:86,ALL,tcp,47.113.57.36,130,14678,65,9270,65,5408
C0:84:7D:2E:9C:86,ALL,tcp,47.113.57.59,181,20697,91,13181,90,7516
C0:84:7D:2E:9C:86,ALL,tcp,47.113.66.37,160,18135,80,11465,80,6670
C0:84:7D:2E:9C:86,ALL,tcp,61.170.77.225,11,1663,6,626,5,1037
C0:84:7D:2E:9C:86,ALL,tcp,61.170.79.221,10,1598,6,626,4,972
C0:84:7D:2E:9C:86,ALL,tcp,61.170.80.228,10,1589,6,626,4,963
C0:84:7D:2E:9C:86,ALL,tcp,61.170.81.235,11,1656,6,626,5,1030
C0:84:7D:2E:9C:86,ALL,tcp,61.170.81.237,11,1644,6,626,5,1018
C0:84:7D:2E:9C:86,ALL,tcp,81.71.158.163,94,7938,62,5092,32,2846
C0:84:7D:2E:9C:86,ALL,http,1.14.243.105,10,1855,5,1560,5,295
C0:84:7D:2E:9C:86,ALL,http,1.14.243.233,10,9962,5,4347,5,5615
C0:84:7D:2E:9C:86,ALL,http,1.14.243.65,2,371,1,312,1,59
C0:84:7D:2E:9C:86,ALL,http,1.14.243.73,2,1331,1,870,1,461
C0:84:7D:2E:9C:86,ALL,http,101.226.28.236,2,464,1,336,1,128
C0:84:7D:2E:9C:86,ALL,http,114.80.179.239,2,1124,1,336,1,788
C0:84:7D:2E:9C:86,ALL,http,114.80.179.241,2,463,1,336,1,127
C0:84:7D:2E:9C:86,ALL,http,114.80.179.248,2,1122,1,336,1,786
C0:84:7D:2E:9C:86,ALL,http,180.163.207.105,2,464,1,336,1,128
C0:84:7D:2E:9C:86,ALL,http,180.163.207.107,2,1136,1,336,1,800
C0:84:7D:2E:9C:86,ALL,http,47.107.217.159,52,17504,26,12574,26,4930
C0:84:7D:2E:9C:86,ALL,http,47.113.57.36,26,8646,13,6202,13,2444
C0:84:7D:2E:9C:86,ALL,http,47.113.57.59,36,12291,18,8879,18,3412
C0:84:7D:2E:9C:86,ALL,http,47.113.66.37,32,10711,16,7689,16,3022
C0:84:7D:2E:9C:86,ALL,http,61.170.77.225,2,1133,1,336,1,797
C0:84:7D:2E:9C:86,ALL,http,61.170.79.221,2,1134,1,336,1,798
C0:84:7D:2E:9C:86,ALL,http,61.170.80.228,2,1125,1,336,1,789
C0:84:7D:2E:9C:86,ALL,http,61.170.81.235,2,1126,1,336,1,790
C0:84:7D:2E:9C:86,ALL,http,61.170.81.237,2,464,1,336,1,128
