MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
90:31:4B:71:8E:B6,ALL,ip,192.168.1.1,80464,16221715,40286,7871506,40178,8350209
90:31:4B:71:8E:B6,ALL,ip,192.168.1.106,84,19980,30,2502,54,17478
90:31:4B:71:8E:B6,ALL,ip,239.255.255.250,4,716,4,716,0,0
90:31:4B:71:8E:B6,ALL,tcp,192.168.1.1,80456,16217915,40286,7871506,40170,8346409
90:31:4B:71:8E:B6,ALL,tcp,192.168.1.106,60,11868,30,2502,30,9366
90:31:4B:71:8E:B6,ALL,udp,192.168.1.1,8,3800,0,0,8,3800
90:31:4B:71:8E:B6,ALL,udp,192.168.1.106,24,8112,0,0,24,8112
90:31:4B:71:8E:B6,ALL,udp,239.255.255.250,4,716,4,716,0,0
90:31:4B:71:8E:B6,ALL,http,192.168.1.1,16058,11832040,8029,5675055,8029,6156985
90:31:4B:71:8E:B6,ALL,http,192.168.1.106,12,1446,6,1086,6,360
90:31:4B:71:8E:B6,ALL,ssdp,192.168.1.1,8,3800,0,0,8,3800
90:31:4B:71:8E:B6,ALL,ssdp,192.168.1.106,24,8112,0,0,24,8112
90:31:4B:71:8E:B6,ALL,ssdp,239.255.255.250,4,716,4,716,0,0
90:31:4B:71:8E:B6,ALL,tcp:5000,192.168.1.1*,80456,16217915,40286,7871506,40170,8346409
90:31:4B:71:8E:B6,ALL,tcp:5000,192.168.1.107*,80456,16217915,40170,8346409,40286,7871506
