MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
EC:B5:FA:99:AC:15,ALL,ip,192.168.1.107,84,19980,54,17478,30,2502
EC:B5:FA:99:AC:15,ALL,ip,192.168.1.109,3300,671328,2100,571272,1200,100056
EC:B5:FA:99:AC:15,ALL,ip,224.0.0.251,6047,1971423,6047,1971423,0,0
EC:B5:FA:99:AC:15,ALL,ip,239.255.255.250,28602,10039302,28602,10039302,0,0
EC:B5:FA:99:AC:15,ALL,tcp,192.168.1.107,60,11868,30,9366,30,2502
EC:B5:FA:99:AC:15,ALL,tcp,192.168.1.109,2400,367128,1200,267072,1200,100056
EC:B5:FA:99:AC:15,ALL,udp,192.168.1.107,24,8112,24,8112,0,0
EC:B5:FA:99:AC:15,ALL,udp,192.168.1.109,900,304200,900,304200,0,0
EC:B5:FA:99:AC:15,ALL,udp,224.0.0.251,6047,1971423,6047,1971423,0,0
EC:B5:FA:99:AC:15,ALL,udp,239.255.255.250,28602,10039302,28602,10039302,0,0
EC:B5:FA:99:AC:15,ALL,http,192.168.1.107,12,1446,6,360,6,1086
EC:B5:FA:99:AC:15,ALL,http,192.168.1.109,480,57816,240,14400,240,43416
EC:B5:FA:99:AC:15,ALL,mdns,192.168.1.106*,6047,1971423,0,0,6047,1971423
EC:B5:FA:99:AC:15,ALL,mdns,224.0.0.251*,6047,1971423,6047,1971423,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,192.168.1.107,24,8112,24,8112,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,192.168.1.109,900,304200,900,304200,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,239.255.255.250,28602,10039302,28602,10039302,0,0
