MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
40:A2:DB:2C:8A:68,ALL,ip,192.168.231.108,1156003,92917093,590490,54905720,565513,38011373
40:A2:DB:2C:8A:68,ALL,ip,192.168.231.112,6953,934641,4048,254367,2905,680274
40:A2:DB:2C:8A:68,ALL,ip,192.168.231.176,2240,831075,525,43120,1715,787955
40:A2:DB:2C:8A:68,ALL,ip,192.168.231.200,67,71221,0,0,67,71221
40:A2:DB:2C:8A:68,ALL,ip,224.0.0.251,5377,566573,5377,566573,0,0
40:A2:DB:2C:8A:68,ALL,ip,239.255.255.250,3723,1371948,3723,1371948,0,0
40:A2:DB:2C:8A:68,ALL,ip,255.255.255.255,315,23100,315,23100,0,0
40:A2:DB:2C:8A:68,ALL,tcp,192.168.231.108,143143,38222661,84061,25532838,59082,12689823
40:A2:DB:2C:8A:68,ALL,tcp,192.168.231.112,6752,807408,4048,254367,2704,553041
40:A2:DB:2C:8A:68,ALL,tcp,192.168.231.176,980,327810,525,43120,455,284690
40:A2:DB:2C:8A:68,ALL,udp,192.168.231.108,1012860,54694432,506429,29372882,506431,25321550
40:A2:DB:2C:8A:68,ALL,udp,192.168.231.112,201,127233,0,0,201,127233
40:A2:DB:2C:8A:68,ALL,udp,192.168.231.176,1260,503265,0,0,1260,503265
40:A2:DB:2C:8A:68,ALL,udp,192.168.231.200,67,71221,0,0,67,71221
40:A2:DB:2C:8A:68,ALL,udp,224.0.0.251,5377,566573,5377,566573,0,0
40:A2:DB:2C:8A:68,ALL,udp,239.255.255.250,3723,1371948,3723,1371948,0,0
40:A2:DB:2C:8A:68,ALL,udp,255.255.255.255,315,23100,315,23100,0,0
40:A2:DB:2C:8A:68,ALL,tls,192.168.231.108,85045,34384081,29623,21937994,55422,12446087
40:A2:DB:2C:8A:68,ALL,http,192.168.231.176,140,59535,70,12530,70,47005
40:A2:DB:2C:8A:68,ALL,tplink-smarthome,192.168.231.112,1551,624033,675,58725,876,565308
40:A2:DB:2C:8A:68,ALL,tplink-smarthome,192.168.231.200,67,71221,0,0,67,71221
40:A2:DB:2C:8A:68,ALL,tplink-smarthome,255.255.255.255,210,14910,210,14910,0,0
40:A2:DB:2C:8A:68,ALL,ssdp,239.255.255.250,3618,1357563,3618,1357563,0,0
40:A2:DB:2C:8A:68,ALL,mdns,224.0.0.251,5377,566573,5377,566573,0,0
40:A2:DB:2C:8A:68,ALL,udp:56700,255.255.255.255,105,8190,105,8190,0,0
40:A2:DB:2C:8A:68,ALL,udp:1982,239.255.255.250,105,14385,105,14385,0,0
40:A2:DB:2C:8A:68,ALL,udp:55444,192.168.231.108,1012860,54694432,506429,29372882,506431,25321550
40:A2:DB:2C:8A:68,ALL,udp:50000,192.168.231.176,1260,503265,0,0,1260,503265
40:A2:DB:2C:8A:68,ALL,udp:50000,239.255.255.250,210,29295,210,29295,0,0
40:A2:DB:2C:8A:68,ALL,tcp:55740,192.168.231.108,44611,11941336,26759,8188342,17852,3752994
40:A2:DB:2C:8A:68,ALL,tcp:55443,192.168.231.108,143143,38222661,84061,25532838,59082,12689823
40:A2:DB:2C:8A:68,ALL,tcp:43466,192.168.231.112,10,1196,6,377,4,819
