MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
B0:C5:54:4A:30:B0,ALL,ip,18.200.177.60,999,254542,615,121749,384,132793
B0:C5:54:4A:30:B0,ALL,ip,224.0.0.251,417,62273,417,62273,0,0
B0:C5:54:4A:30:B0,ALL,ip,34.240.70.139,1830,430947,1123,207214,707,223733
B0:C5:54:4A:30:B0,ALL,ip,34.254.122.144,595,189040,340,73030,255,116010
B0:C5:54:4A:30:B0,ALL,ip,52.19.172.170,4604,940629,2910,516038,1694,424591
B0:C5:54:4A:30:B0,ALL,ip,52.215.192.18,275,110780,152,41725,123,69055
B0:C5:54:4A:30:B0,ALL,ip,52.215.192.19,222,94030,122,32810,100,61220
B0:C5:54:4A:30:B0,ALL,ip,52.51.81.227,91,46825,42,10169,49,36656
B0:C5:54:4A:30:B0,ALL,ip,54.194.135.95,262,111156,145,21481,117,89675
B0:C5:54:4A:30:B0,ALL,ip,54.220.151.155,537,193485,309,77161,228,116324
B0:C5:54:4A:30:B0,ALL,ip,54.77.239.235,1726,370916,1080,194405,646,176511
B0:C5:54:4A:30:B0,ALL,ip,99.80.0.240,4785,937996,3074,522461,1711,415535
B0:C5:54:4A:30:B0,ALL,ip,99.81.252.178,443,159569,244,57001,199,102568
B0:C5:54:4A:30:B0,ALL,tcp,18.200.177.60,999,254542,615,121749,384,132793
B0:C5:54:4A:30:B0,ALL,tcp,34.240.70.139,1830,430947,1123,207214,707,223733
B0:C5:54:4A:30:B0,ALL,tcp,34.254.122.144,595,189040,340,73030,255,116010
B0:C5:54:4A:30:B0,ALL,tcp,52.19.172.170,4604,940629,2910,516038,1694,424591
B0:C5:54:4A:30:B0,ALL,tcp,52.215.192.18,275,110780,152,41725,123,69055
B0:C5:54:4A:30:B0,ALL,tcp,52.215.192.19,222,94030,122,32810,100,61220
B0:C5:54:4A:30:B0,ALL,tcp,52.51.81.227,91,46825,42,10169,49,36656
B0:C5:54:4A:30:B0,ALL,tcp,54.194.135.95,262,111156,145,21481,117,89675
B0:C5:54:4A:30:B0,ALL,tcp,54.220.151.155,537,193485,309,77161,228,116324
B0:C5:54:4A:30:B0,ALL,tcp,54.77.239.235,1726,370916,1080,194405,646,176511
B0:C5:54:4A:30:B0,ALL,tcp,99.80.0.240,4785,937996,3074,522461,1711,415535
B0:C5:54:4A:30:B0,ALL,tcp,99.81.252.178,443,159569,244,57001,199,102568
B0:C5:54:4A:30:B0,ALL,udp,224.0.0.251,417,62273,417,62273,0,0
B0:C5:54:4A:30:B0,ALL,tls,18.200.177.60,600,226644,296,100587,304,126057
B0:C5:54:4A:30:B0,ALL,tls,34.240.70.139,1092,379759,541,168678,551,211081
B0:C5:54:4A:30:B0,ALL,tls,34.254.122.144,328,169834,161,61076,167,108758
B0:C5:54:4A:30:B0,ALL,tls,52.19.172.170,2892,824609,1446,418990,1446,405619
B0:C5:54:4A:30:B0,ALL,tls,52.215.192.18,142,99038,70,36213,72,62825
B0:C5:54:4A:30:B0,ALL,tls,52.215.192.19,106,83706,51,28096,55,55610
B0:C5:54:4A:30:B0,ALL,tls,52.51.81.227,34,41591,15,8339,19,33252
B0:C5:54:4A:30:B0,ALL,tls,54.194.135.95,104,90648,51,15157,53,75491
B0:C5:54:4A:30:B0,ALL,tls,54.220.151.155,291,177004,144,66187,147,110817
B0:C5:54:4A:30:B0,ALL,tls,54.77.239.235,1068,327292,534,158193,534,169099
B0:C5:54:4A:30:B0,ALL,tls,99.80.0.240,3050,819122,1521,419691,1529,399431
B0:C5:54:4A:30:B0,ALL,tls,99.81.252.178,227,143809,110,48057,117,95752
B0:C5:54:4A:30:B0,ALL,mdns,224.0.0.251,417,62273,417,62273,0,0
B0:C5:54:4A:30:B0,ALL,https,18.200.177.60,999,254542,615,121749,384,132793
B0:C5:54:4A:30:B0,ALL,https,34.240.70.139,1830,430947,1123,207214,707,223733
B0:C5:54:4A:30:B0,ALL,https,34.254.122.144,595,189040,340,73030,255,116010
B0:C5:54:4A:30:B0,ALL,https,52.19.172.170,4604,940629,2910,516038,1694,424591
B0:C5:54:4A:30:B0,ALL,https,52.215.192.18,275,110780,152,41725,123,69055
B0:C5:54:4A:30:B0,ALL,https,52.215.192.19,222,94030,122,32810,100,61220
B0:C5:54:4A:30:B0,ALL,https,52.51.81.227,91,46825,42,10169,49,36656
B0:C5:54:4A:30:B0,ALL,https,54.194.135.95,262,111156,145,21481,117,89675
B0:C5:54:4A:30:B0,ALL,https,54.220.151.155,537,193485,309,77161,228,116324
B0:C5:54:4A:30:B0,ALL,https,54.77.239.235,1726,370916,1080,194405,646,176511
B0:C5:54:4A:30:B0,ALL,https,99.80.0.240,4785,937996,3074,522461,1711,415535
B0:C5:54:4A:30:B0,ALL,https,99.81.252.178,443,159569,244,57001,199,102568
