MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
F4:CF:A2:0C:40:1C,ALL,ip,18.184.31.90,1000,90381,538,45739,462,44642
F4:CF:A2:0C:40:1C,ALL,ip,18.185.182.159,3923,426506,1806,205206,2117,221300
F4:CF:A2:0C:40:1C,ALL,ip,18.185.218.106,1321,122257,704,61808,617,60449
F4:CF:A2:0C:40:1C,ALL,ip,18.185.31.196,1082,101472,597,52265,485,49207
F4:CF:A2:0C:40:1C,ALL,ip,18.192.43.219,1420,132580,772,67988,648,64592
F4:CF:A2:0C:40:1C,ALL,ip,18.195.249.137,3506,386612,1597,184506,1909,202106
F4:CF:A2:0C:40:1C,ALL,ip,255.255.255.255,26413,6074990,26413,6074990,0,0
F4:CF:A2:0C:40:1C,ALL,ip,3.120.92.134,1568,148430,874,78064,694,70366
F4:CF:A2:0C:40:1C,ALL,ip,3.121.131.36,2841,308631,1300,146925,1541,161706
F4:CF:A2:0C:40:1C,ALL,ip,3.121.210.75,2258,211316,1214,107670,1044,103646
F4:CF:A2:0C:40:1C,ALL,ip,3.124.225.12,912,83681,509,43982,403,39699
F4:CF:A2:0C:40:1C,ALL,ip,3.64.85.28,2619,243578,1446,126289,1173,117289
F4:CF:A2:0C:40:1C,ALL,ip,3.65.95.68,1925,179915,1053,93049,872,86866
F4:CF:A2:0C:40:1C,ALL,ip,3.66.126.37,2864,266214,1571,137160,1293,129054
F4:CF:A2:0C:40:1C,ALL,ip,3.67.242.33,3282,310643,1823,161865,1459,148778
F4:CF:A2:0C:40:1C,ALL,ip,35.156.42.116,2637,245390,1415,124627,1222,120763
F4:CF:A2:0C:40:1C,ALL,ip,35.156.44.172,3111,294500,1728,153380,1383,141120
F4:CF:A2:0C:40:1C,ALL,ip,52.57.38.165,2089,196732,1135,100814,954,95918
F4:CF:A2:0C:40:1C,ALL,ip,52.58.249.45,3104,291373,1708,151217,1396,140156
F4:CF:A2:0C:40:1C,ALL,udp,255.255.255.255,26413,6074990,26413,6074990,0,0
F4:CF:A2:0C:40:1C,ALL,tcp,18.184.31.90,1000,90381,538,45739,462,44642
F4:CF:A2:0C:40:1C,ALL,tcp,18.185.182.159,3923,426506,1806,205206,2117,221300
F4:CF:A2:0C:40:1C,ALL,tcp,18.185.218.106,1321,122257,704,61808,617,60449
F4:CF:A2:0C:40:1C,ALL,tcp,18.185.31.196,1082,101472,597,52265,485,49207
F4:CF:A2:0C:40:1C,ALL,tcp,18.192.43.219,1420,132580,772,67988,648,64592
F4:CF:A2:0C:40:1C,ALL,tcp,18.195.249.137,3506,386612,1597,184506,1909,202106
F4:CF:A2:0C:40:1C,ALL,tcp,3.120.92.134,1568,148430,874,78064,694,70366
F4:CF:A2:0C:40:1C,ALL,tcp,3.121.131.36,2841,308631,1300,146925,1541,161706
F4:CF:A2:0C:40:1C,ALL,tcp,3.121.210.75,2258,211316,1214,107670,1044,103646
F4:CF:A2:0C:40:1C,ALL,tcp,3.124.225.12,912,83681,509,43982,403,39699
F4:CF:A2:0C:40:1C,ALL,tcp,3.64.85.28,2619,243578,1446,126289,1173,117289
F4:CF:A2:0C:40:1C,ALL,tcp,3.65.95.68,1925,179915,1053,93049,872,86866
F4:CF:A2:0C:40:1C,ALL,tcp,3.66.126.37,2864,266214,1571,137160,1293,129054
F4:CF:A2:0C:40:1C,ALL,tcp,3.67.242.33,3282,310643,1823,161865,1459,148778
F4:CF:A2:0C:40:1C,ALL,tcp,35.156.42.116,2637,245390,1415,124627,1222,120763
F4:CF:A2:0C:40:1C,ALL,tcp,35.156.44.172,3111,294500,1728,153380,1383,141120
F4:CF:A2:0C:40:1C,ALL,tcp,52.57.38.165,2089,196732,1135,100814,954,95918
F4:CF:A2:0C:40:1C,ALL,tcp,52.58.249.45,3104,291373,1708,151217,1396,140156
F4:CF:A2:0C:40:1C,ALL,tls,18.184.31.90,420,58240,208,27442,212,30798
F4:CF:A2:0C:40:1C,ALL,tls,18.185.182.159,1391,286531,788,148371,603,138160
F4:CF:A2:0C:40:1C,ALL,tls,18.185.218.106,593,82102,296,39321,297,42781
F4:CF:A2:0C:40:1C,ALL,tls,18.185.31.196,524,70663,263,33824,261,36839
F4:CF:A2:0C:40:1C,ALL,tls,18.192.43.219,670,90664,334,43300,336,47364
F4:CF:A2:0C:40:1C,ALL,tls,18.195.249.137,1278,261717,720,133737,558,127980
F4:CF:A2:0C:40:1C,ALL,tls,3.120.92.134,788,105491,397,51835,391,53656
F4:CF:A2:0C:40:1C,ALL,tls,3.121.131.36,1010,206484,561,104710,449,101774
F4:CF:A2:0C:40:1C,ALL,tls,3.121.210.75,1072,145602,536,70024,536,75578
F4:CF:A2:0C:40:1C,ALL,tls,3.124.225.12,414,56021,207,27190,207,28831
F4:CF:A2:0C:40:1C,ALL,tls,3.64.85.28,1205,164233,603,79108,602,85125
F4:CF:A2:0C:40:1C,ALL,tls,3.65.95.68,915,123906,461,60197,454,63709
F4:CF:A2:0C:40:1C,ALL,tls,3.66.126.37,1315,179964,655,86123,660,93841
F4:CF:A2:0C:40:1C,ALL,tls,3.67.242.33,1614,217673,800,104789,814,112884
F4:CF:A2:0C:40:1C,ALL,tls,35.156.42.116,1195,165342,595,78935,600,86407
F4:CF:A2:0C:40:1C,ALL,tls,35.156.44.172,1539,207491,769,100302,770,107189
F4:CF:A2:0C:40:1C,ALL,tls,52.57.38.165,990,135796,496,65422,494,70374
F4:CF:A2:0C:40:1C,ALL,tls,52.58.249.45,1465,200257,731,96813,734,103444
F4:CF:A2:0C:40:1C,ALL,udp:6667,255.255.255.255,26413,6074990,26413,6074990,0,0
F4:CF:A2:0C:40:1C,ALL,tcp:8886,18.184.31.90,1000,90381,538,45739,462,44642
F4:CF:A2:0C:40:1C,ALL,tcp:8886,18.185.218.106,1321,122257,704,61808,617,60449
F4:CF:A2:0C:40:1C,ALL,tcp:8886,18.185.31.196,1082,101472,597,52265,485,49207
F4:CF:A2:0C:40:1C,ALL,tcp:8886,18.192.43.219,1420,132580,772,67988,648,64592
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.120.92.134,1568,148430,874,78064,694,70366
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.121.210.75,2258,211316,1214,107670,1044,103646
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.124.225.12,912,83681,509,43982,403,39699
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.64.85.28,2619,243578,1446,126289,1173,117289
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.65.95.68,1925,179915,1053,93049,872,86866
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.66.126.37,2864,266214,1571,137160,1293,129054
F4:CF:A2:0C:40:1C,ALL,tcp:8886,3.67.242.33,3282,310643,1823,161865,1459,148778
F4:CF:A2:0C:40:1C,ALL,tcp:8886,35.156.42.116,2637,245390,1415,124627,1222,120763
F4:CF:A2:0C:40:1C,ALL,tcp:8886,35.156.44.172,3111,294500,1728,153380,1383,141120
F4:CF:A2:0C:40:1C,ALL,tcp:8886,52.57.38.165,2089,196732,1135,100814,954,95918
F4:CF:A2:0C:40:1C,ALL,tcp:8886,52.58.249.45,3104,291373,1708,151217,1396,140156
F4:CF:A2:0C:40:1C,ALL,https,18.185.182.159,3923,426506,1806,205206,2117,221300
F4:CF:A2:0C:40:1C,ALL,https,18.195.249.137,3506,386612,1597,184506,1909,202106
F4:CF:A2:0C:40:1C,ALL,https,3.121.131.36,2841,308631,1300,146925,1541,161706
