MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
20:DF:B9:3B:00:90,ALL,ip,192.168.231.109,7919,3516938,2512,110528,5407,3406410
20:DF:B9:3B:00:90,ALL,ip,192.168.231.184,69414,8028570,35125,4168911,34289,3859659
20:DF:B9:3B:00:90,ALL,ip,192.168.231.192,946253,69634820,474835,34592390,471418,35042430
20:DF:B9:3B:00:90,ALL,ip,192.168.231.200,7493,5567352,2353,103532,5140,5463820
20:DF:B9:3B:00:90,ALL,ip,192.168.231.237,22252,7029112,12770,1101402,9482,5927710
20:DF:B9:3B:00:90,ALL,ip,224.0.0.250,2647,230281,2647,230281,0,0
20:DF:B9:3B:00:90,ALL,ip,224.0.0.251,40296,9041393,40296,9041393,0,0
20:DF:B9:3B:00:90,ALL,ip,239.255.255.251,2649,230449,2649,230449,0,0
20:DF:B9:3B:00:90,ALL,ip,255.255.255.255,10989,840851,10989,840851,0,0
20:DF:B9:3B:00:90,ALL,udp,192.168.231.109,7919,3516938,2512,110528,5407,3406410
20:DF:B9:3B:00:90,ALL,udp,192.168.231.184,44894,2836403,22077,1368849,22817,1467554
20:DF:B9:3B:00:90,ALL,udp,192.168.231.192,705221,43851602,346927,21509699,358294,22341903
20:DF:B9:3B:00:90,ALL,udp,192.168.231.200,7493,5567352,2353,103532,5140,5463820
20:DF:B9:3B:00:90,ALL,udp,192.168.231.237,3829,168476,3829,168476,0,0
20:DF:B9:3B:00:90,ALL,udp,224.0.0.250,2647,230281,2647,230281,0,0
20:DF:B9:3B:00:90,ALL,udp,224.0.0.251,40296,9041393,40296,9041393,0,0
20:DF:B9:3B:00:90,ALL,udp,239.255.255.251,2649,230449,2649,230449,0,0
20:DF:B9:3B:00:90,ALL,udp,255.255.255.255,10989,840851,10989,840851,0,0
20:DF:B9:3B:00:90,ALL,tcp,192.168.231.184,24520,5192167,13048,2800062,11472,2392105
20:DF:B9:3B:00:90,ALL,tcp,192.168.231.192,241032,25783218,127908,13082691,113124,12700527
20:DF:B9:3B:00:90,ALL,tcp,192.168.231.237,18423,6860636,8941,932926,9482,5927710
20:DF:B9:3B:00:90,ALL,tls,192.168.231.184,12603,4400687,6523,2370378,6080,2030309
20:DF:B9:3B:00:90,ALL,tls,192.168.231.192,118732,17706282,59610,8573174,59122,9133108
20:DF:B9:3B:00:90,ALL,classicstun,192.168.231.184,42775,2652050,22074,1368588,20701,1283462
20:DF:B9:3B:00:90,ALL,classicstun,192.168.231.192,700105,43406510,346918,21508916,353187,21897594
20:DF:B9:3B:00:90,ALL,mdns,224.0.0.251,40296,9041393,40296,9041393,0,0
20:DF:B9:3B:00:90,ALL,tplink-smarthome,192.168.231.109,5407,3406410,0,0,5407,3406410
20:DF:B9:3B:00:90,ALL,tplink-smarthome,192.168.231.200,5140,5463820,0,0,5140,5463820
20:DF:B9:3B:00:90,ALL,tplink-smarthome,255.255.255.255,5477,388867,5477,388867,0,0
20:DF:B9:3B:00:90,ALL,http,192.168.231.237,2343,563144,1172,488724,1171,74420
20:DF:B9:3B:00:90,ALL,tcp:42959,192.168.231.192,44,2915,21,1386,23,1529
20:DF:B9:3B:00:90,ALL,tcp:10005,192.168.231.184,11685,2597331,6277,1420349,5408,1176982
20:DF:B9:3B:00:90,ALL,tcp:10005,192.168.231.192,25269,3804204,13487,2061827,11782,1742377
20:DF:B9:3B:00:90,ALL,udp:9478,255.255.255.255,5512,451984,5512,451984,0,0
20:DF:B9:3B:00:90,ALL,udp:10101,192.168.231.184,2119,184353,3,261,2116,184092
20:DF:B9:3B:00:90,ALL,udp:10101,192.168.231.192,5116,445092,9,783,5107,444309
20:DF:B9:3B:00:90,ALL,udp:10101,224.0.0.250,2647,230281,2647,230281,0,0
20:DF:B9:3B:00:90,ALL,udp:10101,239.255.255.251,2649,230449,2649,230449,0,0
20:DF:B9:3B:00:90,ALL,udp:1111,192.168.231.109,2512,110528,2512,110528,0,0
20:DF:B9:3B:00:90,ALL,udp:1111,192.168.231.200,2353,103532,2353,103532,0,0
20:DF:B9:3B:00:90,ALL,udp:1111,192.168.231.237,3829,168476,3829,168476,0,0
20:DF:B9:3B:00:90,ALL,tcp:10101,192.168.231.184,4689,484227,2437,229527,2252,254700
20:DF:B9:3B:00:90,ALL,tcp:10101,192.168.231.192,171078,17385149,92312,8698271,78766,8686878
20:DF:B9:3B:00:90,ALL,tcp:8012,192.168.231.184,8146,2110609,4334,1150186,3812,960423
20:DF:B9:3B:00:90,ALL,tcp:8012,192.168.231.192,14522,2481233,7258,1274455,7264,1206778
20:DF:B9:3B:00:90,ALL,tcp:9000,192.168.231.192,30163,2112632,14851,1048138,15312,1064494
