MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
D4:F5:47:82:0E:C6,ALL,ip,142.250.31.101,10,874,5,409,5,465
D4:F5:47:82:0E:C6,ALL,ip,142.250.31.102,9,808,5,409,4,399
D4:F5:47:82:0E:C6,ALL,ip,142.250.31.95,34,11284,19,4806,15,6478
D4:F5:47:82:0E:C6,ALL,ip,142.251.111.138,172,531929,44,7377,128,524552
D4:F5:47:82:0E:C6,ALL,ip,142.251.111.190,20,10305,12,7371,8,2934
D4:F5:47:82:0E:C6,ALL,ip,142.251.111.95,27,8030,15,1725,12,6305
D4:F5:47:82:0E:C6,ALL,ip,142.251.16.139,41,12991,20,2482,21,10509
D4:F5:47:82:0E:C6,ALL,ip,142.251.16.190,677,67024,331,38259,346,28765
D4:F5:47:82:0E:C6,ALL,ip,142.251.16.95,1,74,1,74,0,0
D4:F5:47:82:0E:C6,ALL,ip,142.251.163.190,721,76695,355,45350,366,31345
D4:F5:47:82:0E:C6,ALL,ip,142.251.163.95,35,13844,19,6977,16,6867
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.100,66,23028,33,4291,33,18737
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.101,9,808,5,409,4,399
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.102,29,2556,17,1359,12,1197
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.113,9,808,5,409,4,399
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.188,37,19845,18,2840,19,17005
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.91,1412,145183,695,83761,717,61422
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.93,703,74302,347,43735,356,30567
D4:F5:47:82:0E:C6,ALL,ip,142.251.167.95,1,74,1,74,0,0
D4:F5:47:82:0E:C6,ALL,ip,142.251.179.102,21,11200,11,3924,10,7276
D4:F5:47:82:0E:C6,ALL,ip,142.251.179.188,2,132,2,132,0,0
D4:F5:47:82:0E:C6,ALL,ip,172.253.115.138,42,12979,21,2560,21,10419
D4:F5:47:82:0E:C6,ALL,ip,172.253.115.188,38,19959,18,2889,20,17070
D4:F5:47:82:0E:C6,ALL,ip,172.253.115.190,41,12121,16,7976,25,4145
D4:F5:47:82:0E:C6,ALL,ip,172.253.115.94,189,53033,107,14397,82,38636
D4:F5:47:82:0E:C6,ALL,ip,172.253.115.95,129,65995,55,36552,74,29443
D4:F5:47:82:0E:C6,ALL,ip,172.253.122.94,1,66,1,66,0,0
D4:F5:47:82:0E:C6,ALL,ip,172.253.122.95,51,15835,27,3272,24,12563
D4:F5:47:82:0E:C6,ALL,ip,172.253.62.136,731,76876,361,45262,370,31614
D4:F5:47:82:0E:C6,ALL,ip,172.253.62.91,684,74147,338,44394,346,29753
D4:F5:47:82:0E:C6,ALL,ip,172.253.62.93,32,13320,19,9460,13,3860
D4:F5:47:82:0E:C6,ALL,ip,172.253.62.95,45,12566,23,4181,22,8385
D4:F5:47:82:0E:C6,ALL,ip,172.253.63.139,41,13076,19,2416,22,10660
D4:F5:47:82:0E:C6,ALL,ip,172.253.63.190,1416,146625,699,85271,717,61354
D4:F5:47:82:0E:C6,ALL,ip,172.253.63.93,705,70504,348,39911,357,30593
D4:F5:47:82:0E:C6,ALL,ip,172.253.63.94,24,7718,13,1758,11,5960
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.0,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.12,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.4,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ip,216.239.35.8,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ip,224.0.0.250,11046,960986,11046,960986,0,0
D4:F5:47:82:0E:C6,ALL,ip,224.0.0.251,45801,8621599,45801,8621599,0,0
D4:F5:47:82:0E:C6,ALL,ip,239.255.255.251,11061,962261,11061,962261,0,0
D4:F5:47:82:0E:C6,ALL,udp,142.251.111.190,20,10305,12,7371,8,2934
D4:F5:47:82:0E:C6,ALL,udp,142.251.16.190,677,67024,331,38259,346,28765
D4:F5:47:82:0E:C6,ALL,udp,142.251.163.190,708,74341,347,44160,361,30181
D4:F5:47:82:0E:C6,ALL,udp,142.251.167.91,1387,140541,680,81447,707,59094
D4:F5:47:82:0E:C6,ALL,udp,142.251.167.93,690,71948,339,42545,351,29403
D4:F5:47:82:0E:C6,ALL,udp,142.251.179.102,21,11200,11,3924,10,7276
D4:F5:47:82:0E:C6,ALL,udp,172.253.115.190,41,12121,16,7976,25,4145
D4:F5:47:82:0E:C6,ALL,udp,172.253.62.136,718,74522,353,44072,365,30450
D4:F5:47:82:0E:C6,ALL,udp,172.253.62.91,671,71793,330,43204,341,28589
D4:F5:47:82:0E:C6,ALL,udp,172.253.62.93,20,11032,12,8336,8,2696
D4:F5:47:82:0E:C6,ALL,udp,172.253.63.190,1390,141917,683,82891,707,59026
D4:F5:47:82:0E:C6,ALL,udp,172.253.63.93,692,68150,340,38721,352,29429
D4:F5:47:82:0E:C6,ALL,udp,216.239.35.0,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,udp,216.239.35.12,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,udp,216.239.35.4,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,udp,216.239.35.8,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,udp,224.0.0.250,11046,960986,11046,960986,0,0
D4:F5:47:82:0E:C6,ALL,udp,224.0.0.251,45801,8621599,45801,8621599,0,0
D4:F5:47:82:0E:C6,ALL,udp,239.255.255.251,11061,962261,11061,962261,0,0
D4:F5:47:82:0E:C6,ALL,tcp,142.250.31.101,10,874,5,409,5,465
D4:F5:47:82:0E:C6,ALL,tcp,142.250.31.102,9,808,5,409,4,399
D4:F5:47:82:0E:C6,ALL,tcp,142.250.31.95,34,11284,19,4806,15,6478
D4:F5:47:82:0E:C6,ALL,tcp,142.251.111.138,172,531929,44,7377,128,524552
D4:F5:47:82:0E:C6,ALL,tcp,142.251.111.95,27,8030,15,1725,12,6305
D4:F5:47:82:0E:C6,ALL,tcp,142.251.16.139,41,12991,20,2482,21,10509
D4:F5:47:82:0E:C6,ALL,tcp,142.251.16.95,1,74,1,74,0,0
D4:F5:47:82:0E:C6,ALL,tcp,142.251.163.190,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,tcp,142.251.163.95,35,13844,19,6977,16,6867
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.100,66,23028,33,4291,33,18737
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.101,9,808,5,409,4,399
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.102,29,2556,17,1359,12,1197
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.113,9,808,5,409,4,399
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.188,37,19845,18,2840,19,17005
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.91,25,4642,15,2314,10,2328
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.93,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,tcp,142.251.167.95,1,74,1,74,0,0
D4:F5:47:82:0E:C6,ALL,tcp,142.251.179.188,2,132,2,132,0,0
D4:F5:47:82:0E:C6,ALL,tcp,172.253.115.138,42,12979,21,2560,21,10419
D4:F5:47:82:0E:C6,ALL,tcp,172.253.115.188,38,19959,18,2889,20,17070
D4:F5:47:82:0E:C6,ALL,tcp,172.253.115.94,189,53033,107,14397,82,38636
D4:F5:47:82:0E:C6,ALL,tcp,172.253.115.95,129,65995,55,36552,74,29443
D4:F5:47:82:0E:C6,ALL,tcp,172.253.122.94,1,66,1,66,0,0
D4:F5:47:82:0E:C6,ALL,tcp,172.253.122.95,51,15835,27,3272,24,12563
D4:F5:47:82:0E:C6,ALL,tcp,172.253.62.136,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,tcp,172.253.62.91,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,tcp,172.253.62.93,12,2288,7,1124,5,1164
D4:F5:47:82:0E:C6,ALL,tcp,172.253.62.95,45,12566,23,4181,22,8385
D4:F5:47:82:0E:C6,ALL,tcp,172.253.63.139,41,13076,19,2416,22,10660
D4:F5:47:82:0E:C6,ALL,tcp,172.253.63.190,26,4708,16,2380,10,2328
D4:F5:47:82:0E:C6,ALL,tcp,172.253.63.93,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,tcp,172.253.63.94,24,7718,13,1758,11,5960
D4:F5:47:82:0E:C6,ALL,tls,142.250.31.95,13,8530,7,2630,6,5900
D4:F5:47:82:0E:C6,ALL,tls,142.251.111.138,127,528915,9,5051,118,523864
D4:F5:47:82:0E:C6,ALL,tls,142.251.111.190,2,2784,1,1392,1,1392
D4:F5:47:82:0E:C6,ALL,tls,142.251.111.95,11,6986,5,1085,6,5901
D4:F5:47:82:0E:C6,ALL,tls,142.251.16.139,17,11391,7,1616,10,9775
D4:F5:47:82:0E:C6,ALL,tls,142.251.16.190,2,2784,1,1392,1,1392
D4:F5:47:82:0E:C6,ALL,tls,142.251.163.190,6,4528,3,2178,3,2350
D4:F5:47:82:0E:C6,ALL,tls,142.251.163.95,16,9754,7,3357,9,6397
D4:F5:47:82:0E:C6,ALL,tls,142.251.167.100,27,17432,12,2834,15,14598
D4:F5:47:82:0E:C6,ALL,tls,142.251.167.188,17,18505,6,2044,11,16461
D4:F5:47:82:0E:C6,ALL,tls,142.251.167.91,12,9056,6,4356,6,4700
D4:F5:47:82:0E:C6,ALL,tls,142.251.167.93,6,4528,3,2178,3,2350
D4:F5:47:82:0E:C6,ALL,tls,142.251.179.102,2,2784,1,1392,1,1392
D4:F5:47:82:0E:C6,ALL,tls,172.253.115.138,17,11301,7,1616,10,9685
D4:F5:47:82:0E:C6,ALL,tls,172.253.115.188,17,18541,6,2081,11,16460
D4:F5:47:82:0E:C6,ALL,tls,172.253.115.190,2,2784,1,1392,1,1392
D4:F5:47:82:0E:C6,ALL,tls,172.253.115.94,83,45877,44,10159,39,35718
D4:F5:47:82:0E:C6,ALL,tls,172.253.115.95,68,50781,28,23590,40,27191
D4:F5:47:82:0E:C6,ALL,tls,172.253.122.95,22,13973,10,2170,12,11803
D4:F5:47:82:0E:C6,ALL,tls,172.253.62.136,6,4528,3,2178,3,2350
D4:F5:47:82:0E:C6,ALL,tls,172.253.62.91,6,4528,3,2178,3,2350
D4:F5:47:82:0E:C6,ALL,tls,172.253.62.93,6,4528,3,2178,3,2350
D4:F5:47:82:0E:C6,ALL,tls,172.253.62.95,25,11222,12,3439,13,7783
D4:F5:47:82:0E:C6,ALL,tls,172.253.63.139,15,4509,7,1616,8,2893
D4:F5:47:82:0E:C6,ALL,tls,172.253.63.190,12,9056,6,4356,6,4700
D4:F5:47:82:0E:C6,ALL,tls,172.253.63.93,6,4528,3,2178,3,2350
D4:F5:47:82:0E:C6,ALL,tls,172.253.63.94,12,6910,6,1288,6,5622
D4:F5:47:82:0E:C6,ALL,mdns,192.168.1.113*,45801,8621599,0,0,45801,8621599
D4:F5:47:82:0E:C6,ALL,mdns,224.0.0.251*,45801,8621599,45801,8621599,0,0
D4:F5:47:82:0E:C6,ALL,ntp,216.239.35.0,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ntp,216.239.35.12,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ntp,216.239.35.4,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,ntp,216.239.35.8,4,360,2,180,2,180
D4:F5:47:82:0E:C6,ALL,quic,142.251.111.190,20,10305,12,7371,8,2934
D4:F5:47:82:0E:C6,ALL,quic,142.251.16.190,677,67024,331,38259,346,28765
D4:F5:47:82:0E:C6,ALL,quic,142.251.163.190,708,74341,347,44160,361,30181
D4:F5:47:82:0E:C6,ALL,quic,142.251.167.91,1387,140541,680,81447,707,59094
D4:F5:47:82:0E:C6,ALL,quic,142.251.167.93,690,71948,339,42545,351,29403
D4:F5:47:82:0E:C6,ALL,quic,142.251.179.102,21,11200,11,3924,10,7276
D4:F5:47:82:0E:C6,ALL,quic,172.253.115.190,41,12121,16,7976,25,4145
D4:F5:47:82:0E:C6,ALL,quic,172.253.62.136,718,74522,353,44072,365,30450
D4:F5:47:82:0E:C6,ALL,quic,172.253.62.91,671,71793,330,43204,341,28589
D4:F5:47:82:0E:C6,ALL,quic,172.253.62.93,20,11032,12,8336,8,2696
D4:F5:47:82:0E:C6,ALL,quic,172.253.63.190,1390,141917,683,82891,707,59026
D4:F5:47:82:0E:C6,ALL,quic,172.253.63.93,692,68150,340,38721,352,29429
D4:F5:47:82:0E:C6,ALL,http,142.250.31.101,2,330,1,137,1,193
D4:F5:47:82:0E:C6,ALL,http,142.250.31.102,2,330,1,137,1,193
D4:F5:47:82:0E:C6,ALL,http,142.251.167.100,2,330,1,137,1,193
D4:F5:47:82:0E:C6,ALL,http,142.251.167.101,2,330,1,137,1,193
D4:F5:47:82:0E:C6,ALL,http,142.251.167.102,6,990,3,411,3,579
D4:F5:47:82:0E:C6,ALL,http,142.251.167.113,2,330,1,137,1,193
D4:F5:47:82:0E:C6,ALL,udp:10101,224.0.0.250,11046,960986,11046,960986,0,0
D4:F5:47:82:0E:C6,ALL,udp:10101,239.255.255.251,11061,962261,11061,962261,0,0
D4:F5:47:82:0E:C6,ALL,udp:443,142.251.111.190*,20,10305,12,7371,8,2934
D4:F5:47:82:0E:C6,ALL,udp:443,142.251.16.190*,677,67024,331,38259,346,28765
D4:F5:47:82:0E:C6,ALL,udp:443,142.251.163.190*,708,74341,347,44160,361,30181
D4:F5:47:82:0E:C6,ALL,udp:443,142.251.167.91*,1387,140541,680,81447,707,59094
D4:F5:47:82:0E:C6,ALL,udp:443,142.251.167.93*,690,71948,339,42545,351,29403
D4:F5:47:82:0E:C6,ALL,udp:443,142.251.179.102*,21,11200,11,3924,10,7276
D4:F5:47:82:0E:C6,ALL,udp:443,172.253.115.190*,41,12121,16,7976,25,4145
D4:F5:47:82:0E:C6,ALL,udp:443,172.253.62.136*,718,74522,353,44072,365,30450
D4:F5:47:82:0E:C6,ALL,udp:443,172.253.62.91*,671,71793,330,43204,341,28589
D4:F5:47:82:0E:C6,ALL,udp:443,172.253.62.93*,20,11032,12,8336,8,2696
D4:F5:47:82:0E:C6,ALL,udp:443,172.253.63.190*,1390,141917,683,82891,707,59026
D4:F5:47:82:0E:C6,ALL,udp:443,172.253.63.93*,692,68150,340,38721,352,29429
D4:F5:47:82:0E:C6,ALL,https,142.250.31.95,34,11284,19,4806,15,6478
D4:F5:47:82:0E:C6,ALL,https,142.251.111.138,172,531929,44,7377,128,524552
D4:F5:47:82:0E:C6,ALL,https,142.251.111.95,27,8030,15,1725,12,6305
D4:F5:47:82:0E:C6,ALL,https,142.251.16.139,41,12991,20,2482,21,10509
D4:F5:47:82:0E:C6,ALL,https,142.251.16.95,1,74,1,74,0,0
D4:F5:47:82:0E:C6,ALL,https,142.251.163.190,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,https,142.251.163.95,35,13844,19,6977,16,6867
D4:F5:47:82:0E:C6,ALL,https,142.251.167.100,57,22220,28,3882,29,18338
D4:F5:47:82:0E:C6,ALL,https,142.251.167.188,37,19845,18,2840,19,17005
D4:F5:47:82:0E:C6,ALL,https,142.251.167.91,25,4642,15,2314,10,2328
D4:F5:47:82:0E:C6,ALL,https,142.251.167.93,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,https,142.251.167.95,1,74,1,74,0,0
D4:F5:47:82:0E:C6,ALL,https,142.251.179.188,2,132,2,132,0,0
D4:F5:47:82:0E:C6,ALL,https,172.253.115.138,42,12979,21,2560,21,10419
D4:F5:47:82:0E:C6,ALL,https,172.253.115.188,38,19959,18,2889,20,17070
D4:F5:47:82:0E:C6,ALL,https,172.253.115.94,178,52275,100,13919,78,38356
D4:F5:47:82:0E:C6,ALL,https,172.253.115.95,129,65995,55,36552,74,29443
D4:F5:47:82:0E:C6,ALL,https,172.253.122.95,51,15835,27,3272,24,12563
D4:F5:47:82:0E:C6,ALL,https,172.253.62.136,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,https,172.253.62.91,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,https,172.253.62.93,12,2288,7,1124,5,1164
D4:F5:47:82:0E:C6,ALL,https,172.253.62.95,45,12566,23,4181,22,8385
D4:F5:47:82:0E:C6,ALL,https,172.253.63.139,41,13076,19,2416,22,10660
D4:F5:47:82:0E:C6,ALL,https,172.253.63.190,26,4708,16,2380,10,2328
D4:F5:47:82:0E:C6,ALL,https,172.253.63.93,13,2354,8,1190,5,1164
D4:F5:47:82:0E:C6,ALL,https,172.253.63.94,24,7718,13,1758,11,5960
D4:F5:47:82:0E:C6,ALL,udp:47613,142.251.111.190*,20,10305,12,7371,8,2934
D4:F5:47:82:0E:C6,ALL,udp:47613,192.168.1.113*,20,10305,8,2934,12,7371
D4:F5:47:82:0E:C6,ALL,udp:57041,172.253.62.91*,671,71793,330,43204,341,28589
D4:F5:47:82:0E:C6,ALL,udp:57041,192.168.1.113*,671,71793,341,28589,330,43204
D4:F5:47:82:0E:C6,ALL,udp:52801,142.251.167.91*,689,68334,337,38904,352,29430
D4:F5:47:82:0E:C6,ALL,udp:52801,192.168.1.113*,689,68334,352,29430,337,38904
D4:F5:47:82:0E:C6,ALL,udp:36183,142.251.163.190*,708,74341,347,44160,361,30181
D4:F5:47:82:0E:C6,ALL,udp:36183,192.168.1.113*,708,74341,361,30181,347,44160
D4:F5:47:82:0E:C6,ALL,udp:42052,172.253.63.190*,685,67651,337,38497,348,29154
D4:F5:47:82:0E:C6,ALL,udp:42052,192.168.1.113*,685,67651,348,29154,337,38497
D4:F5:47:82:0E:C6,ALL,udp:53464,142.251.167.91*,698,72207,343,42543,355,29664
D4:F5:47:82:0E:C6,ALL,udp:53464,192.168.1.113*,698,72207,355,29664,343,42543
D4:F5:47:82:0E:C6,ALL,udp:34054,172.253.62.136*,718,74522,353,44072,365,30450
D4:F5:47:82:0E:C6,ALL,udp:34054,192.168.1.113*,718,74522,365,30450,353,44072
D4:F5:47:82:0E:C6,ALL,udp:60540,172.253.63.190*,705,74266,346,44394,359,29872
D4:F5:47:82:0E:C6,ALL,udp:60540,192.168.1.113*,705,74266,359,29872,346,44394
D4:F5:47:82:0E:C6,ALL,udp:59449,142.251.167.93*,690,71948,339,42545,351,29403
D4:F5:47:82:0E:C6,ALL,udp:59449,192.168.1.113*,690,71948,351,29403,339,42545
D4:F5:47:82:0E:C6,ALL,udp:44569,142.251.179.102*,21,11200,11,3924,10,7276
D4:F5:47:82:0E:C6,ALL,udp:44569,192.168.1.113*,21,11200,10,7276,11,3924
D4:F5:47:82:0E:C6,ALL,udp:50994,172.253.63.93*,692,68150,340,38721,352,29429
D4:F5:47:82:0E:C6,ALL,udp:50994,192.168.1.113*,692,68150,352,29429,340,38721
D4:F5:47:82:0E:C6,ALL,udp:33432,172.253.62.93*,20,11032,12,8336,8,2696
D4:F5:47:82:0E:C6,ALL,udp:33432,192.168.1.113*,20,11032,8,2696,12,8336
D4:F5:47:82:0E:C6,ALL,udp:39401,172.253.115.190*,41,12121,16,7976,25,4145
D4:F5:47:82:0E:C6,ALL,udp:39401,192.168.1.113*,41,12121,25,4145,16,7976
D4:F5:47:82:0E:C6,ALL,udp:55481,142.251.16.190*,677,67024,331,38259,346,28765
D4:F5:47:82:0E:C6,ALL,udp:55481,192.168.1.113*,677,67024,346,28765,331,38259
