MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
44:3D:54:BE:12:3C,ALL,ip,192.168.1.102,22,6615,8,641,14,5974
44:3D:54:BE:12:3C,ALL,ip,192.168.1.106,7245,1467887,2651,221031,4594,1246856
44:3D:54:BE:12:3C,ALL,ip,192.168.1.116,154,99484,0,0,154,99484
44:3D:54:BE:12:3C,ALL,ip,192.168.1.117,3,1938,0,0,3,1938
44:3D:54:BE:12:3C,ALL,ip,224.0.0.251,1685,176783,1685,176783,0,0
44:3D:54:BE:12:3C,ALL,ip,239.255.255.250,486,67392,486,67392,0,0
44:3D:54:BE:12:3C,ALL,ip,255.255.255.255,324,24138,324,24138,0,0
44:3D:54:BE:12:3C,ALL,tcp,192.168.1.102,15,3972,8,641,7,3331
44:3D:54:BE:12:3C,ALL,tcp,192.168.1.106,5301,810815,2651,221031,2650,589784
44:3D:54:BE:12:3C,ALL,udp,192.168.1.102,7,2643,0,0,7,2643
44:3D:54:BE:12:3C,ALL,udp,192.168.1.106,1944,657072,0,0,1944,657072
44:3D:54:BE:12:3C,ALL,udp,192.168.1.116,154,99484,0,0,154,99484
44:3D:54:BE:12:3C,ALL,udp,192.168.1.117,3,1938,0,0,3,1938
44:3D:54:BE:12:3C,ALL,udp,224.0.0.251,1685,176783,1685,176783,0,0
44:3D:54:BE:12:3C,ALL,udp,239.255.255.250,486,67392,486,67392,0,0
44:3D:54:BE:12:3C,ALL,udp,255.255.255.255,324,24138,324,24138,0,0
44:3D:54:BE:12:3C,ALL,http,192.168.1.102,2,1388,1,171,1,1217
44:3D:54:BE:12:3C,ALL,http,192.168.1.106,1060,127677,530,95877,530,31800
44:3D:54:BE:12:3C,ALL,mdns,224.0.0.251,1685,176783,1685,176783,0,0
44:3D:54:BE:12:3C,ALL,ssdp,192.168.1.106,1944,657072,0,0,1944,657072
44:3D:54:BE:12:3C,ALL,ssdp,239.255.255.250,324,45198,324,45198,0,0
44:3D:54:BE:12:3C,ALL,tplink-smarthome,192.168.1.116,154,99484,0,0,154,99484
44:3D:54:BE:12:3C,ALL,tplink-smarthome,192.168.1.117,3,1938,0,0,3,1938
44:3D:54:BE:12:3C,ALL,tplink-smarthome,255.255.255.255,162,11502,162,11502,0,0
44:3D:54:BE:12:3C,ALL,udp:56700,255.255.255.255,162,12636,162,12636,0,0
44:3D:54:BE:12:3C,ALL,udp:1982,239.255.255.250,162,22194,162,22194,0,0
44:3D:54:BE:12:3C,ALL,udp:50000,192.168.1.102,7,2643,0,0,7,2643
44:3D:54:BE:12:3C,ALL,udp:50000,192.168.1.106,1944,657072,0,0,1944,657072
44:3D:54:BE:12:3C,ALL,udp:50000,239.255.255.250,324,45198,324,45198,0,0
