IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.231.120,None,65954,6905954,33002,4107812,32952,2798142
35.195.102.202,202.102.195.35.bc.googleusercontent.com.,65244,6747701,32636,2728274,32608,4019427
192.168.231.1,None,265,41018,111,29534,154,11484
130.211.135.74,74.135.211.130.bc.googleusercontent.com.,203,68623,92,19811,111,48812
104.199.109.192,192.109.199.104.bc.googleusercontent.com.,172,42312,78,17373,94,24939
195.154.226.102,likho.oneyed.monster.,10,900,5,450,5,450
162.159.200.123,time.cloudflare.com.,10,900,5,450,5,450
129.250.35.251,y.ns.gin.ntt.net.,10,900,5,450,5,450
194.57.169.1,ntp.univ-angers.fr.,10,900,5,450,5,450
5.39.80.51,silas.dioptre.fr.,10,900,5,450,5,450
129.151.225.244,None,10,900,5,450,5,450
146.59.35.38,vps-b79172cc.vps.ovh.net.,10,900,5,450,5,450
