IP, Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
255.255.255.255,None,None,None,14017,3223910,0,0,14017,3223910
18.185.218.106,*.tuyaeu.com,Germany,None,3699,345050,1565,160608,2134,184442
52.57.38.165,*.tuyaeu.com,Germany,None,2928,266785,1236,124586,1692,142199
192.168.231.1,None,None,None,1968,303775,882,224497,1086,79278
3.124.225.12,*.tuyaeu.com,Germany,None,1624,131741,752,65873,872,65868
35.156.42.116,*.tuyaeu.com,Germany,None,1562,125303,722,62700,840,62603
3.121.210.75,*.tuyaeu.com,Germany,None,1551,129147,718,64051,833,65096
18.185.182.159,*.tuyaeu.com,Germany,None,1540,165743,835,86567,705,79176
3.120.92.134,*.tuyaeu.com,Germany,None,1489,124950,674,61549,815,63401
3.67.242.33,*.tuyaeu.com,Germany,None,1444,121140,647,58906,797,62234
3.64.85.28,*.tuyaeu.com,Germany,None,1414,113424,656,57556,758,55868
18.185.31.196,*.tuyaeu.com,Germany,None,1362,113863,633,57118,729,56745
3.66.126.37,*.tuyaeu.com,Germany,None,1341,108910,615,54207,726,54703
18.184.31.90,*.tuyaeu.com,Germany,None,1261,98515,568,48539,693,49976
3.65.95.68,*.tuyaeu.com,Germany,None,1191,94453,542,47357,649,47096
3.121.131.36,*.tuyaeu.com,Germany,None,1047,103375,574,54645,473,48730
35.156.44.172,*.tuyaeu.com,Germany,None,1023,79138,459,38826,564,40312
18.192.43.219,*.tuyaeu.com,Germany,None,1009,78568,450,39268,559,39300
18.195.249.137,*.tuyaeu.com,Germany,None,794,76399,445,41223,349,35176
52.58.249.45,*.tuyaeu.com,Germany,None,776,58253,340,28523,436,29730
224.0.0.1,all-systems.mcast.net,None,None,70,3220,0,0,70,3220
